"Bono","Moneda","Fecha_Vencimiento","Fecha_Licitacion","Cupo","Monto_Demandado","Monto_Asignado","Tasa_Corte","BTC"
"BTU0200335","UF",2035-03-01,2025-02-18,1000,1270,870,2.58,1.27
"BTP0001125","CLP",2025-11-26,2025-02-20,350000,1186000,350000,4.9,3.38857142857143
"BTP0001125","CLP",2025-11-26,2025-02-25,3e+05,1116000,3e+05,4.85,3.72
"BTP0500335","CLP",2035-03-01,2025-02-25,40000,128200,40000,5.91,3.205
"BTU0200335","UF",2035-03-01,2025-02-25,1000,1000,1000,2.68,1
"BTP0000527","CLP",2027-05-06,2025-02-27,50000,115000,50000,5.3,2.3
"BTP0610456","CLP",2056-04-01,2025-02-27,40000,50000,35000,5.86,1.25
"BTU0200335","UF",2035-03-01,2025-02-27,1000,2750,1000,2.65,2.75
"BTP0001025","CLP",2025-10-24,2025-03-04,3e+05,784000,3e+05,4.9,2.61333333333333
"BTP0500335","CLP",2035-03-01,2025-03-04,40000,139400,40000,5.86,3.485
"BTU0281155","UF",2055-11-01,2025-03-04,1500,3350,1500,2.45,2.23333333333333
"BTP0000825","CLP",2025-08-26,2025-03-11,3e+05,1140000,3e+05,4.84,3.8
"BTP0000527","CLP",2027-05-06,2025-03-11,50000,175000,50000,5.31,3.5
"BTP0610456","CLP",2056-04-01,2025-03-11,40000,72000,40000,5.83,1.8
"BTU0200335","UF",2035-03-01,2025-03-11,1000,3300,1000,2.53,3.3
"BTP0001125","CLP",2025-11-26,2025-03-13,350000,1040000,350000,4.8,2.97142857142857
"BTP0500335","CLP",2035-03-01,2025-03-13,40000,138600,40000,5.78,3.465
"BTU0281155","UF",2055-11-01,2025-03-13,1500,2180,1500,2.45,1.45333333333333
"BTP0001125","CLP",2025-11-26,2025-03-18,350000,1165000,350000,4.77,3.32857142857143
"BTP0001025","CLP",2025-10-24,2025-03-25,225000,555000,225000,4.89,2.46666666666667
"BTP0500335","CLP",2035-03-01,2025-03-25,40000,136000,39000,5.75,3.4
"BTU0200335","UF",2035-03-01,2025-03-25,1000,2270,1000,2.53,2.27
"BTU0281155","UF",2055-11-01,2025-03-25,1500,2990,1500,2.43,1.99333333333333
"BTP0000825","CLP",2025-08-26,2025-03-27,225000,595000,225000,4.9,2.64444444444444
"BTP0000527","CLP",2027-05-06,2025-03-27,50000,74000,50000,5.3,1.48
"BTP0500335","CLP",2035-03-01,2025-03-27,40000,118000,40000,5.84,2.95
"BTU0200335","UF",2035-03-01,2025-03-27,1000,3100,1000,2.63,3.1
"BTP0000527","CLP",2027-05-06,2025-04-01,50000,202000,50000,5.1,4.04
"BTP0500335","CLP",2035-03-01,2025-04-01,30000,97000,30000,5.87,3.23333333333333
"BTU0200335","UF",2035-03-01,2025-04-01,1000,3730,1000,2.57,3.73
"BTP0610456","CLP",2056-04-01,2025-04-03,40000,81000,40000,5.58,2.025
"BTU0281155","UF",2055-11-01,2025-04-03,1000,2920,1000,2.25,2.92
"BTP0000527","CLP",2027-05-06,2025-04-09,50000,190000,50000,5.12,3.8
"BTP0600433","CLP",2033-04-01,2025-04-09,50000,179000,50000,5.78,3.58
"BTU0001028","UF",2028-10-01,2025-04-09,1000,2740,1000,2.19,2.74
"BTU0200335","UF",2035-03-01,2025-04-09,1000,2600,1000,2.4,2.6
"BTP0001025","CLP",2025-10-24,2025-04-15,450000,936000,450000,4.9,2.08
"BTP0581029","CLP",2029-10-01,2025-04-15,80000,261000,80000,5.57,3.2625
"BTP0500335","CLP",2035-03-01,2025-04-15,30000,141000,30000,5.59,4.7
"BTU0281155","UF",2055-11-01,2025-04-15,1200,2970,1200,2.41,2.475
"BTP0001125","CLP",2025-11-26,2025-04-17,450000,971000,450000,4.75,2.15777777777778
"BTP0000527","CLP",2027-05-06,2025-04-17,60000,292000,60000,5.1,4.86666666666667
"BTP0600433","CLP",2033-04-01,2025-04-17,80000,178000,80000,5.82,2.225
"BTP0610456","CLP",2056-04-01,2025-04-17,40000,103000,40000,5.73,2.575
"BTU0001028","UF",2028-10-01,2025-04-17,1500,3610,1500,2.27,2.40666666666667
"BTP0000825","CLP",2025-08-26,2025-04-22,3e+05,765000,3e+05,4.95,2.55
"BTP0581029","CLP",2029-10-01,2025-04-22,80000,327000,80000,5.56,4.0875
"BTU0281155","UF",2055-11-01,2025-04-22,1200,2620,1200,2.36,2.18333333333333
"BTP0001025","CLP",2025-10-24,2025-04-24,275000,852000,275000,4.87,3.09818181818182
"BTP0000527","CLP",2027-05-06,2025-04-24,60000,191000,60000,5.1,3.18333333333333
"BTP0610456","CLP",2056-04-01,2025-04-24,40000,45000,33000,5.74,1.125
"BTU0001028","UF",2028-10-01,2025-04-24,1500,7040,1500,2.23,4.69333333333333
"BTU0200335","UF",2035-03-01,2025-04-24,1500,3470,1500,2.51,2.31333333333333
"BTP0001125","CLP",2025-11-26,2025-04-30,2e+05,917000,2e+05,4.7,4.585
"BTP0581029","CLP",2029-10-01,2025-04-30,80000,274000,80000,5.5,3.425
"BTP0500335","CLP",2035-03-01,2025-04-30,30000,105600,30000,5.7,3.52
"BTU0281155","UF",2055-11-01,2025-04-30,1200,2340,1190,2.37,1.95
"BTP0000527","CLP",2027-05-06,2025-05-06,60000,342000,60000,5.03,5.7
"BTP0600433","CLP",2033-04-01,2025-05-06,80000,327000,80000,5.74,4.0875
"BTU0001028","UF",2028-10-01,2025-05-06,1500,3600,1500,2.24,2.4
"BTU0200335","UF",2035-03-01,2025-05-06,1500,2530,1500,2.55,1.68666666666667
"BTP0581029","CLP",2029-10-01,2025-05-14,55000,2e+05,55000,5.6,3.63636363636364
"BTP0500335","CLP",2035-03-01,2025-05-14,30000,173600,30000,5.82,5.78666666666667
"BTU0281155","UF",2055-11-01,2025-05-14,1200,2770,1190,2.49,2.30833333333333
"BTP0610456","CLP",2056-04-01,2025-05-20,60000,102000,60000,5.9,1.7
"BTU0001028","UF",2028-10-01,2025-05-20,1500,3880,1500,2.33,2.58666666666667
"BTP0000527","CLP",2027-05-06,2025-05-22,60000,170000,60000,5.08,2.83333333333333
"BTP0600433","CLP",2033-04-01,2025-05-22,80000,251000,80000,5.84,3.1375
"BTU0281155","UF",2055-11-01,2025-05-22,1200,2330,1130,2.52,1.94166666666667
"BTP0581029","CLP",2029-10-01,2025-05-27,55000,170000,55000,5.56,3.09090909090909
"BTP0610456","CLP",2056-04-01,2025-05-27,60000,91000,59000,5.92,1.51666666666667
"BTU0001028","UF",2028-10-01,2025-05-27,1500,2900,1500,2.4,1.93333333333333
"BTP0000527","CLP",2027-05-06,2025-05-29,60000,212400,60000,5.04,3.54
"BTP0600433","CLP",2033-04-01,2025-05-29,60000,164000,60000,5.82,2.73333333333333
"BTU0281155","UF",2055-11-01,2025-05-29,1200,1700,1200,2.6,1.41666666666667
"BTP0581029","CLP",2029-10-01,2025-06-03,50000,252600,50000,5.5,5.052
"BTU0001028","UF",2028-10-01,2025-06-03,1500,4700,1500,2.33,3.13333333333333
"BTU0200335","UF",2035-03-01,2025-06-03,1500,1520,870,2.6,1.01333333333333
"BTP0000527","CLP",2027-05-06,2025-06-05,60000,222000,60000,4.96,3.7
"BTP0600433","CLP",2033-04-01,2025-06-05,50000,267000,50000,5.75,5.34
"BTP0581029","CLP",2029-10-01,2025-06-10,50000,212000,50000,5.5,4.24
"BTU0001028","UF",2028-10-01,2025-06-10,1500,5500,1500,2.3,3.66666666666667
"BTU0200335","UF",2035-03-01,2025-06-10,1500,3050,1500,2.63,2.03333333333333
"BTP0600433","CLP",2033-04-01,2025-06-12,50000,204000,50000,5.71,4.08
"BTP0610456","CLP",2056-04-01,2025-06-12,60000,91000,58000,5.85,1.51666666666667
"BTU0281155","UF",2055-11-01,2025-06-12,1200,1930,1090,2.6,1.60833333333333
"BTP0000527","CLP",2027-05-06,2025-06-24,60000,176000,60000,4.78,2.93333333333333
"BTU0001028","UF",2028-10-01,2025-06-24,1500,5840,1500,2.24,3.89333333333333
"BTU0200335","UF",2035-03-01,2025-06-24,1500,2410,1500,2.67,1.60666666666667
"BTP0581029","CLP",2029-10-01,2025-06-26,50000,326000,50000,5.36,6.52
"BTP0600433","CLP",2033-04-01,2025-06-26,50000,216000,50000,5.7,4.32
"BTU0281155","UF",2055-11-01,2025-06-26,1200,1900,1150,2.68,1.58333333333333
"BTP0000527","CLP",2027-05-06,2025-07-01,60000,95000,60000,4.77,1.58333333333333
"BTU0001028","UF",2028-10-01,2025-07-01,1500,3900,1500,2.33,2.6
"BTU0200335","UF",2035-03-01,2025-07-01,1500,2830,1500,2.66,1.88666666666667
"BTU0281155","UF",2055-11-01,2025-07-01,800,1350,700,2.65,1.6875
"BTP0610456","CLP",2056-04-01,2025-07-03,25000,62600,25000,5.79,2.504
"BTP0000527","CLP",2027-05-06,2025-07-10,60000,87000,60000,4.74,1.45
"BTU0001028","UF",2028-10-01,2025-07-10,1000,5140,1000,2.4,5.14
