"Bono","Moneda","Fecha_Vencimiento","Fecha_Licitacion","Cupo","Monto_Demandado","Monto_Asignado","Tasa_Corte","BTC"
"BTU0281155","UF",2055-11-01,2026-06-02,850,2290,850,2.65,2.69411764705882
"BTP0501028","CLP",2028-10-01,2026-06-04,25000,1e+05,25000,4.78,4
"BTP0610456","CLP",2056-04-01,2026-06-04,25000,35600,23600,5.95,1.424
"BTU0230731","UF",2031-07-15,2026-06-04,1600,3300,1600,2.41,2.0625
"BTP0000926","CLP",2026-09-29,2026-06-09,50000,135000,50000,4.44,2.7
"BTP0001126","CLP",2026-11-23,2026-06-09,3e+05,535000,3e+05,4.45,1.78333333333333
"BTP0530732","CLP",2032-07-15,2026-06-09,60000,172000,60000,5.56,2.86666666666667
"BTU0281155","UF",2055-11-01,2026-06-09,850,2140,850,2.69,2.51764705882353
"BTP0001226","CLP",2026-12-15,2026-06-11,250000,752000,250000,4.37,3.008
"BTP0000627","CLP",2027-06-22,2026-06-11,2e+05,590000,2e+05,4.49,2.95
"BTP0610456","CLP",2056-04-01,2026-06-11,25000,30000,21000,5.99,1.2
"BTU0230731","UF",2031-07-15,2026-06-11,1600,3550,1600,2.45,2.21875
"BTP0001226","CLP",2026-12-15,2026-06-18,3e+05,775000,3e+05,4.35,2.58333333333333
"BTP0000927","CLP",2027-09-29,2026-06-18,150000,429000,150000,4.39,2.86
"BTP0530732","CLP",2032-07-15,2026-06-18,60000,259000,60000,5.4,4.31666666666667
"BTU0281155","UF",2055-11-01,2026-06-18,850,950,750,2.7,1.11764705882353
