"Periodo","Non_Residents","Banks","Insurers","Local_Pension_Funds","Other_Financial","Other"
2011-01-01,0.22584500763757,0.170520555988473,0.141029961055502,0.369409265834759,0.0714151197891292,0.0217800896945665
2011-03-01,0.228200524272337,0.163427793838382,0.133909413483147,0.379844107543127,0.0613682094652591,0.0332499513977479
2011-05-01,0.261208325868791,0.165404247961414,0.127127030450639,0.358044205018985,0.0603457674483284,0.0278704232518415
2011-06-01,0.269035864649788,0.166490352151523,0.123531688759641,0.353106287597186,0.0609249518338408,0.026910855008021
2011-07-01,0.275047204321223,0.168956044571957,0.12511784267947,0.345199572911851,0.0594554367634865,0.0262238987520123
2011-08-01,0.290917387162646,0.166008332317177,0.118832321410432,0.333934959881435,0.0645185220844426,0.0257884771438682
2011-09-01,0.283342607503796,0.167461758182213,0.116194025643626,0.337664622085157,0.0737458560258943,0.0215911305593133
2011-10-01,0.288353201013287,0.165132620281252,0.115105277638257,0.336886926111107,0.0730565777061684,0.0214653972499287
2011-11-01,0.287524251956707,0.16126966418916,0.116353847523603,0.336170369528738,0.0762501597900947,0.0224317070116967
2011-12-01,0.286084513682148,0.169244416790578,0.11579286880964,0.333250846552123,0.0747736620138558,0.0208536921516549
2012-01-01,0.290649150146918,0.162749925377583,0.11644013974978,0.329460743076455,0.0796701509003234,0.0210298907489406
2012-02-01,0.2956,0.1713,0.111,0.3239,0.0759,0.0222
2012-03-01,0.2924,0.1702,0.1154,0.3243,0.0757,0.022
2012-04-01,0.3104,0.1669,0.1108,0.3204,0.0688,0.0226
2012-05-01,0.315,0.1723,0.1085,0.315,0.0676,0.0217
2012-06-01,0.3199,0.1775,0.1108,0.3094,0.0607,0.0215
2012-07-01,0.3333,0.1759,0.1041,0.3062,0.0582,0.022
2012-08-01,0.3272,0.1784,0.099,0.3053,0.066,0.0238
2012-09-01,0.3331,0.1739,0.1035,0.302,0.0649,0.023
2012-10-01,0.3518,0.1639,0.0959,0.3001,0.0649,0.0234
2012-11-01,0.3497,0.1651,0.0971,0.2964,0.0679,0.0238
2012-12-01,0.3588,0.1701,0.1408,0.2516,0.0578,0.0209
2013-01-01,0.365,0.1686,0.0893,0.2968,0.0617,0.01842
2013-02-01,0.368684891540485,0.16327625572634,0.084976227769939,0.280721124610432,0.0677300783727595,0.0346114219800438
2013-03-01,0.38013154421058,0.142211245827353,0.0881874652619163,0.290611396435464,0.0666157477077697,0.0322426005569166
2013-04-01,0.386936126114167,0.149131837074449,0.0813063117126893,0.285657726223545,0.0657044413911457,0.0312635574840044
2013-05-01,0.382002969400974,0.146542837451928,0.0804647195027829,0.284141981935577,0.0740954772600941,0.0327520144486445
2013-06-01,0.366986993637746,0.145801921800225,0.0900175301978925,0.2861206327212,0.0799050231297355,0.031167898513201
2013-07-01,0.371398274576353,0.148649207274459,0.084694807501448,0.28993933809651,0.0734865596436847,0.0318318129075451
2013-08-01,0.372515247497513,0.142433831682481,0.0850892890643139,0.290905860385585,0.0779104443614919,0.0311453270086148
2013-09-01,0.374,0.139,0.089,0.289,0.078,0.031
2013-10-01,0.377,0.1368,0.0869,0.2894,0.0781,0.0311
2013-12-01,0.363918663488926,0.145806963538779,0.0857001602682139,0.292211317760686,0.0815999507303582,0.0307629442130373
2014-01-01,0.357,0.143,0.085,0.3,0.085,0.03
2014-02-01,0.357373257129678,0.133538654610003,0.092935115189868,0.321621448125862,0.0809326305270924,0.0135988944174959
2014-03-01,0.36129362561443,0.133171351195702,0.0940536071048315,0.319258175548981,0.0809532863587698,0.0112699541772861
2014-04-01,0.370383737200816,0.138372456336142,0.0908864702296841,0.317012741485054,0.0712342080708542,0.0121103866774489
2014-05-01,0.373778670903963,0.141500092360943,0.0906049818467302,0.315147801366824,0.0671584550982039,0.0108055662115143
2014-06-01,0.380034394822744,0.138958421580508,0.0914246456632578,0.314651703820259,0.0638636447170366,0.0110671893961949
2014-07-01,0.388,0.1361,0.0859,0.3116,0.0709,0.0116
2014-08-01,0.3708,0.1365,0.0885,0.3104,0.0775,0.0162
2014-09-01,0.374,0.1352,0.0838,0.3188,0.0762,0.0121
2014-10-01,0.3709,0.1386,0.0838,0.3178,0.077,0.0119
2014-11-01,0.371711602914453,0.1456,0.0829,0.3126,0.0799,0.0073
2014-12-01,0.360081703102498,0.1463,0.0825959351161364,0.3171,0.0866389276308449,0.0073
2015-01-01,0.3632,0.1453,0.0816,0.3171,0.0858,0.007
2015-02-01,0.354602463293892,0.1486,0.0815,0.3173,0.0898,0.0083
2015-03-01,0.350320498488547,0.1499,0.0811,0.3174,0.0922,0.009
2015-04-01,0.3523,0.1545,0.0789,0.3162,0.0905,0.0076
2015-05-01,0.3502,0.1563,0.0782,0.3165,0.0913,0.0074
2015-06-01,0.3434,0.1632,0.0835,0.3156,0.087,0.0072
2015-07-01,0.3525,0.1643,0.087,0.3069,0.0809,0.0084
2015-08-01,0.343593104475053,0.172525584627639,0.0847204603333736,0.307601950287516,0.0845637291587183,0.00699517111770039
2015-09-01,0.3369,0.1602,0.0871,0.3122,0.0916,0.0122
2015-10-01,0.336964078610675,0.166924272728244,0.0860155410137475,0.310855553583308,0.0911119955593992,0.00812855850462572
2015-11-01,0.3334,0.171,0.0852,0.3082,0.0958,0.0061
2015-12-01,0.324050521723385,0.175699266069706,0.0830171505170437,0.306379808206751,0.102569489123192,0.00828376435992227
2016-01-01,0.323438580096935,0.17257067577925,0.0844940444127229,0.307497430142075,0.104786233616967,0.0072130359520502
2016-02-01,0.335713127628594,0.169550397207663,0.0858505030102438,0.302807554854837,0.0989531020029151,0.00712531529574746
2016-03-01,0.341063615711377,0.167243483245525,0.0846510887240261,0.299567286029943,0.0999695953382715,0.00768093834946615
2016-04-01,0.353256323416147,0.166370580964769,0.0839982340877813,0.298809679670696,0.0911000993181187,0.00646508254248784
2016-05-01,0.345549160751448,0.170780122501534,0.0825602893389342,0.296895632893964,0.0961093666083035,0.00810542790581684
2016-06-01,0.353,0.170780122501534,0.081,0.293,0.095,0.007
2016-07-01,0.365077643467552,0.168007295731305,0.0804913844146335,0.289587552683376,0.0893375812832665,0.00749854241986703
2016-08-01,0.36634481381178,0.171986691110234,0.078933595915223,0.284784600487762,0.0903583414241676,0.00759195725083286
2016-09-01,0.381788207872272,0.159021290076242,0.070843557948852,0.285822724980904,0.0960870573573644,0.00643716176436596
2016-10-01,0.370789248727481,0.170303238041791,0.0697347350650709,0.285018947279564,0.0964805813966533,0.00767324948944034
2016-11-01,0.363188423833268,0.177390528413146,0.0698801251644552,0.282139365222805,0.10105320841495,0.00634834895137518
2016-12-01,0.360431059848994,0.177995896578121,0.0716460468069546,0.282588700930715,0.102728050700934,0.00461024513428121
2017-01-01,0.359472432748312,0.175348080827971,0.0741023649587687,0.281035496281726,0.104740058647475,0.00530156653574751
2017-02-01,0.3711,0.1698,0.0758,0.2736,0.1045,0.0052
2017-03-01,0.3833,0.1716,0.0715,0.2719,0.0974,0.0043
2017-04-01,0.3939,0.168191531419211,0.069481500832318,0.272174767234693,0.0908919224327802,0.00534039437066347
2017-05-01,0.4013,0.168819153141921,0.0657,0.268421747672346,0.091,0.00484039437066347
2017-06-01,0.404757846440531,0.17142569639884,0.0641718701350877,0.267006258926116,0.0891329208520668,0.00350540724735861
2017-07-01,0.401552414650963,0.172726907921378,0.0628093732792896,0.265548239520625,0.0930683930691167,0.00429467155862753
2017-08-01,0.400335307609523,0.174692603009309,0.0644376342876301,0.263251774971188,0.0928645497559606,0.00441813036638966
2017-09-01,0.4105,0.1634,0.0618,0.2664,0.0934,0.0012
2017-10-01,0.416983373597734,0.161500830925353,0.0616265119557509,0.264945178499439,0.0901923248762393,0.0047517801454834
2017-11-01,0.413785824686603,0.158423209162289,0.0578193460021525,0.268102307125012,0.096678351659526,0.00519096136441788
2017-12-01,0.4141,0.1502,0.0666,0.2662,0.0989,0.004
2018-01-01,0.411,0.1522,0.0673,0.2637,0.097,0.005
2018-02-01,0.411,0.1574,0.0668,0.259,0.1002,0.0056
2018-03-01,0.4276,0.1436,0.0651,0.256,0.1029,0.0048
2018-04-01,0.427,0.153,0.064,0.256,0.095,0.005
2018-05-01,0.4142,0.1577,0.0627,0.261,0.0996,0.0047
2018-06-01,0.4018,0.1577,0.0635,0.2617,0.1108,0.0045
2018-07-01,0.4007,0.1615,0.0653,0.2583,0.1098,0.0046
2018-08-01,0.397,0.159,0.065,0.258,0.116,0.005
2018-09-01,0.394,0.159,0.065,0.26,0.118,0.004
2018-10-01,0.381,0.159,0.066,0.259,0.131,0.004
2018-11-01,0.383,0.16,0.063,0.256,0.134,0.004
2018-12-01,0.377,0.161,0.064,0.258,0.136,0.004
2019-01-01,0.384,0.163,0.065,0.257,0.127,0.004
2019-02-01,0.388632967279582,0.164500529559256,0.0642027187859613,0.254446274784084,0.123883788458358,0.00433372113275803
2019-03-01,0.388526691809681,0.169224499818165,0.0632004896846581,0.253116970359629,0.121711382206903,0.00421996612096462
2019-04-01,0.392241139341152,0.163134953703103,0.0640623560791998,0.252566814353134,0.123852024999303,0.00414271152410814
2019-05-01,0.386914646037764,0.170710330853605,0.0646521502008487,0.251702568729028,0.121683474249929,0.00433682992882464
2019-06-01,0.384876015170281,0.172514026932969,0.0660224269420599,0.24999794843793,0.122298315852453,0.00429126666430769
2019-07-01,0.378985774464483,0.175615947348242,0.0669209899104541,0.249837098834778,0.122139753059453,0.00650043638258932
2019-08-01,0.373383265643501,0.168463354473406,0.0670770264827236,0.251945539825067,0.132095005341356,0.00703580823394556
2019-09-01,0.369045361331956,0.173927239407791,0.0665292028232824,0.250487223358864,0.134531143264477,0.00547982981362949
2019-10-01,0.369294156990699,0.170008119342451,0.0654613075261962,0.250598689513158,0.139755810613284,0.00488191601421206
2019-11-01,0.364260837256733,0.172654448067622,0.0637184619491814,0.249098918147767,0.144558223296844,0.00570911128185249
2019-12-01,0.371457196190858,0.166740502022799,0.0608236559012915,0.248686259994467,0.146939367028996,0.00535301886158909
2020-01-01,0.373352477168021,0.168256725386084,0.0608151893297986,0.246532339295256,0.145393969166534,0.00564929965430669
2020-02-01,0.369236042347609,0.169104682207982,0.063102843470131,0.245430987128591,0.146909242405375,0.00621620244031169
2020-03-01,0.339543354508987,0.189547885944218,0.0589568887917638,0.249112481030413,0.156121359258952,0.0067180304656667
2020-04-01,0.326579588316325,0.201201241580156,0.0617462334947535,0.246047224846773,0.157173537278762,0.00725217448322968
2020-05-01,0.315294221881605,0.205673519707226,0.0656624495558242,0.237028282345529,0.16881518649056,0.00752634001925589
2020-06-01,0.306033006496111,0.221225677547017,0.0647565780707487,0.232532642105928,0.167984901994515,0.00746719378567932
2020-07-01,0.300918974689435,0.225775782349249,0.0634972893586217,0.230556190300223,0.170103856235542,0.00914790706692882
2020-08-01,0.299353670838245,0.222904655463863,0.0665398285629762,0.224946218360727,0.176521605784648,0.00973402098953998
2020-09-01,0.291795558975351,0.228566286819972,0.070231318945262,0.223898737620221,0.175240896240675,0.0102672013985188
2020-10-01,0.289647885236646,0.225553594675958,0.0698871876026446,0.226312978940668,0.177732429728771,0.0108659238153128
2020-11-01,0.296977722569604,0.218206737772881,0.0704586999991302,0.22716984043259,0.175901233955153,0.0112857652706424
2020-12-01,0.299452112106187,0.220151969153777,0.06990496240066,0.223622652995959,0.175760864873764,0.011107438469653
2021-01-01,0.302406745029887,0.216002627132407,0.0712161035251304,0.222784106541581,0.176503122038252,0.0110872957327424
2021-02-01,0.303121711535651,0.213182844153778,0.072881164936457,0.223466802227654,0.175537483133171,0.0118099940132892
2021-03-01,0.293325641721147,0.226878857117655,0.0727791062446617,0.22606897013001,0.17001913811625,0.0109282866702763
2021-04-01,0.298861766849375,0.212282750205062,0.0738381581401697,0.227380215050846,0.175763888988609,0.0118732207659382
2021-05-01,0.305014566522099,0.209577032281746,0.0727629110908829,0.226464137670572,0.170605954654783,0.015575397779916
2021-06-01,0.301332437404355,0.20680627801136,0.0716813858653509,0.22895935180996,0.175834155133882,0.0153863917750921
2021-07-01,0.295603535101697,0.209844272169203,0.070840480790434,0.230056202425,0.179759607173175,0.0138959023404907
2021-08-01,0.297540501166578,0.199438453347967,0.0724484628493629,0.228924742062838,0.186390112705073,0.015257727868182
2021-09-01,0.289612140305912,0.197227627415261,0.0736531272140486,0.229590431586408,0.194408576694132,0.0155080967842381
