"Moneda","Madurez","Fecha_Licitacion","Monto","Tasa","Tenor"
"UF",2055-11-01,2026-02-10,0.9,2.35,"LP"
"CLP",2026-09-29,2026-02-12,350000,4.17,"CP"
"CLP",2028-10-01,2026-02-12,30000,4.7,"LP"
"CLP",2056-04-01,2026-02-12,25000,5.52,"LP"
"UF",2031-07-15,2026-02-12,1.2,2.19,"CP"
"CLP",2026-06-22,2026-02-17,450000,4.35,"CP"
"CLP",2032-07-15,2026-02-17,80000,5.2,"CP"
"UF",2028-10-01,2026-02-17,0.8,1.8,"LP"
"UF",2055-11-01,2026-02-17,0.58,2.41,"LP"
"CLP",2026-11-23,2026-02-19,450000,4.28,"CP"
"CLP",2028-10-01,2026-02-19,50000,4.71,"LP"
"CLP",2056-04-01,2026-02-19,25000,5.58,"LP"
"UF",2031-07-15,2026-02-19,1.2,2.19,"CP"
"CLP",2026-09-29,2026-02-24,3e+05,4.25,"CP"
"CLP",2032-07-15,2026-02-24,80000,5.22,"CP"
"UF",2028-10-01,2026-02-24,0.65,1.91,"LP"
"UF",2055-11-01,2026-02-24,0.78,2.4,"LP"
"CLP",2028-10-01,2026-02-26,60000,4.75,"LP"
"CLP",2056-04-01,2026-02-26,25000,5.59,"LP"
"UF",2031-07-15,2026-02-26,1.2,2.19,"CP"
"CLP",2032-07-15,2026-03-03,80000,5.3,"CP"
"UF",2028-10-01,2026-03-03,0.8,1.77,"LP"
"UF",2055-11-01,2026-03-03,0.9,2.38,"LP"
"CLP",2028-10-01,2026-03-05,60000,4.79,"LP"
"CLP",2056-04-01,2026-03-05,25000,5.59,"LP"
"UF",2031-07-15,2026-03-05,1.2,2.09,"CP"
"CLP",2032-07-15,2026-03-10,80000,5.3,"LP"
"UF",2028-10-01,2026-03-10,0.8,1.63,"LP"
"CLP",2028-10-01,2026-03-12,46000,4.99,"LP"
"UF",2031-07-15,2026-03-12,1.2,2.09,"LP"
"CLP",2032-07-15,2026-03-17,72800,5.42,"LP"
"UF",2028-10-01,2026-03-17,0.8,1.71,"LP"
"CLP",2028-10-01,2026-03-26,60000,5.35,"LP"
"UF",2031-07-15,2026-03-26,1.2,1.97,"LP"
"CLP",2026-09-29,2026-03-31,2e+05,4.28,"CP"
"UF",2028-10-01,2026-03-31,1.2,1.35,"LP"
"CLP",2026-06-22,2026-04-02,150000,4.5,"CP"
"UF",2055-11-01,2026-04-02,NA,NA,"LP"
"CLP",2056-04-01,2026-04-07,25000,5.75,"LP"
"UF",2031-07-15,2026-04-07,1.6,1.75,"LP"
"CLP",2026-09-29,2026-04-09,2e+05,4.28,"CP"
"UF",2055-11-01,2026-04-09,0.5,2.25,"LP"
"CLP",2026-06-22,2026-04-11,2e+05,4.38,"CP"
"CLP",2028-10-01,2026-04-11,25000,4.99,"LP"
"CLP",2056-04-01,2026-04-11,25000,5.65,"LP"
"UF",2031-07-15,2026-04-11,1.6,1.78,"LP"
"CLP",2026-11-23,2026-04-16,2e+05,4.2,"CP"
"CLP",2032-07-15,2026-04-16,60000,5.32,"LP"
"UF",2028-10-01,2026-04-16,1.2,1.15,"LP"
"UF",2055-11-01,2026-04-16,0.75,2.31,"LP"
"CLP",2026-09-29,2026-04-21,2e+05,4.24,"CP"
"CLP",2028-10-01,2026-04-21,25000,4.92,"LP"
"CLP",2056-04-01,2026-04-21,23000,5.67,"LP"
"UF",2031-07-15,2026-04-21,NA,NA,"LP"
"CLP",2026-06-22,2026-04-23,2e+05,4.25,"CP"
"CLP",2032-07-15,2026-04-23,60000,5.4,"LP"
"UF",2028-10-01,2026-04-23,1.2,1.2,"LP"
"UF",2055-11-01,2026-04-23,0.85,2.46,"LP"
"CLP",2026-11-23,2026-04-30,2e+05,4.2,"CP"
"CLP",2056-04-01,2026-04-30,20000,5.81,"LP"
"UF",2031-07-15,2026-04-30,NA,NA,"LP"
"CLP",2026-09-29,2026-05-05,2e+05,4.22,"CP"
"CLP",2032-07-15,2026-05-05,49000,5.63,"LP"
"UF",2028-10-01,2026-05-05,1.2,1.13,"LP"
"UF",2055-11-01,2026-05-05,0.85,2.53,"LP"
"CLP",2026-06-22,2026-05-07,2e+05,4.34,"CP"
"CLP",2028-10-01,2026-05-07,25000,5.04,"LP"
"CLP",2056-04-01,2026-05-07,24000,5.78,"LP"
"UF",2031-07-15,2026-05-07,NA,NA,"LP"
"CLP",2026-11-23,2026-05-14,150000,4.13,"CP"
"CLP",2032-07-15,2026-05-14,60000,5.58,"LP"
"UF",2028-10-01,2026-05-14,1.2,1.26,"LP"
"UF",2055-11-01,2026-05-14,0.85,2.55,"LP"
"CLP",2026-09-29,2026-05-19,150000,4.15,"CP"
"CLP",2028-10-01,2026-05-19,25000,5.16,"LP"
"CLP",2056-04-01,2026-05-19,NA,NA,"LP"
"UF",2031-07-15,2026-05-19,0.85,2.16,"LP"
"CLP",2032-07-15,2026-05-26,56000,5.59,"LP"
"UF",2028-10-01,2026-05-26,1.2,1.67,"LP"
"UF",2055-11-01,2026-05-26,0.85,2.68,"LP"
"CLP",2028-10-01,2026-05-28,25000,4.93,"LP"
"CLP",2056-04-01,2026-05-28,16000,5.91,"LP"
"UF",2031-07-15,2026-05-28,1.6,2.35,"LP"
"CLP",2032-07-15,2026-06-02,59800,5.58,"LP"
"UF",2055-11-01,2026-06-02,0.85,2.65,"LP"
"CLP",2028-10-01,2026-06-04,25000,4.78,"LP"
"CLP",2056-04-01,2026-06-04,23600,5.95,"LP"
"UF",2031-07-15,2026-06-04,1.6,2.41,"LP"
"CLP",2026-09-29,2026-06-09,50000,4.44,"CP"
"CLP",2026-11-23,2026-06-09,3e+05,4.45,"CP"
"CLP",2032-07-15,2026-06-09,60000,5.56,"LP"
"UF",2055-11-01,2026-06-09,0.85,2.69,"LP"
"CLP",2026-12-15,2026-06-11,250000,4.37,"CP"
"CLP",2027-06-22,2026-06-11,2e+05,4.49,"LP"
"CLP",2056-04-01,2026-06-11,21000,5.99,"LP"
"UF",2031-07-15,2026-06-11,1.6,2.45,"LP"
"CLP",2026-12-15,2026-06-18,3e+05,4.35,"CP"
"CLP",2027-09-29,2026-06-18,150000,4.39,"LP"
"CLP",2032-07-15,2026-06-18,60000,5.4,"LP"
"UF",2055-11-01,2026-06-18,0.75,2.7,"LP"
"CLP",2027-06-22,2026-07-02,250000,4.39,"CP"
"CLP",2032-07-15,2026-07-02,55000,5.31,"LP"
"UF",2037-11-15,2026-07-02,0.65,2.65,"LP"
"CLP",2027-09-29,2026-07-07,250000,4.4,"LP"
"UF",2031-07-15,2026-07-07,1,2.38,"LP"
"UF",2055-11-01,2026-07-07,0.6,2.76,"LP"
"CLP",2027-11-23,2026-07-09,250000,4.45,"LP"
"CLP",2032-07-15,2026-07-09,55000,5.39,"LP"
"UF",2037-11-15,2026-07-09,0.65,2.65,"LP"
"CLP",2027-06-22,2026-07-13,250000,4.5,"CP"
"CLP",NA,2026-07-13,15000,5.92,NA
"UF",2031-07-15,2026-07-13,1,2.38,"LP"
"UF",2055-11-01,2026-07-13,0.6,2.8,"LP"
"CLP",2027-09-29,2026-07-15,250000,4.52,"LP"
"CLP",2032-07-15,2026-07-15,55000,5.56,"LP"
"UF",2037-11-15,2026-07-15,0.65,2.65,"LP"
"UF",2033-10-01,2033-08-02,2,2.22,"CP"
"CLP",2050-07-15,2033-08-30,92000,5.58,"CP"
"UF",2050-07-15,2033-08-30,5.36,2.31,"CP"
"UF",2033-10-01,2033-09-13,2,2.6,"CP"
"CLP",2050-07-15,2033-09-27,95000,5.9,"CP"
"UF",2050-07-15,2033-09-27,5.5,2.5,"CP"
NA,NA,NA,NA,NA,NA
