"Moneda","Madurez","Fecha_Licitacion","Monto","Tasa","Tenor"
"CLP",2050-07-15,2024-05-14,40000,5.99,"CP"
"UF",2030-09-01,2024-05-14,2,2.82,"CP"
"UF",2050-07-15,2024-05-14,1.4,2.7,"CP"
"CLP",2033-04-01,2024-05-24,1300000,6.25,"CP"
"CLP",2040-10-01,2024-05-24,670000,6.25,"CP"
"CLP",2029-04-01,2024-06-04,2e+05,5.65,"LP"
"CLP",2050-07-15,2024-06-04,40000,6.02,"CP"
"UF",2033-10-01,2024-06-04,NA,NA,"CP"
"UF",2050-07-15,2024-06-04,1.4,2.72,"CP"
"CLP",2027-05-06,2024-06-11,250000,5.67,"LP"
"UF",2030-09-01,2024-06-11,2,2.9,"CP"
"UF",2044-01-01,2024-06-11,1.2,2.8,"CP"
"CLP",2029-04-01,2024-06-13,1e+05,5.55,"LP"
"CLP",2030-09-01,2024-06-13,70000,5.81,"CP"
"CLP",2040-10-01,2024-06-13,80000,5.93,"CP"
"UF",2028-10-01,2024-06-13,0.8,2.73,"LP"
"UF",2033-10-01,2024-06-13,1.12,2.9,"CP"
"UF",2044-01-01,2024-06-13,1.01,2.85,"CP"
"CLP",2027-05-06,2024-06-19,225000,5.95,"LP"
"CLP",2040-10-01,2024-06-19,120000,6.13,"CP"
"UF",2028-10-01,2024-06-19,2,2.85,"LP"
"UF",2033-10-01,2024-06-19,1.5,3.02,"CP"
"CLP",2029-04-01,2024-06-25,150000,6,"LP"
"CLP",2030-09-01,2024-06-25,NA,NA,"CP"
"CLP",2040-10-01,2024-06-25,64000,6.3,"CP"
"CLP",2027-05-06,2024-06-27,3e+05,6.02,"LP"
"UF",2028-10-01,2024-06-27,2,2.85,"LP"
"UF",2033-10-01,2024-06-27,2.5,3.1,"CP"
"CLP",2024-11-26,2024-07-03,350000,5.49,"CP"
"UF",2028-10-01,2024-07-03,1.2,2.87,"LP"
"UF",2030-09-01,2024-07-03,1.5,3.05,"CP"
"UF",2050-07-15,2024-07-03,0.86,2.98,"CP"
"CLP",2040-10-01,2024-07-11,80000,6.14,"LP"
"UF",2044-01-01,2024-07-11,1.5,2.9,"LP"
"UF",2030-09-01,2024-07-17,2,2.92,"LP"
"UF",2055-11-01,2024-07-17,2,2.8,"LP"
"CLP",2027-11-01,2024-07-23,150000,5.75,"LP"
"CLP",2050-07-15,2024-07-23,80000,6.08,"LP"
"UF",2028-10-01,2024-07-25,1.6,2.45,"LP"
"UF",2030-09-01,2024-07-25,2,2.75,"LP"
"UF",2055-11-01,2024-07-25,2.5,2.7,"LP"
"CLP",2029-10-01,2024-07-30,1300000,6,"LP"
