"Fecha_Subasta","Fecha_Vencimiento","Moneda","Tasa_Corte","Monto","Tipo_Operacion","Tenor","Duracion"
2009-03-19,2009-06-18,"COP",7.64,59999.979996,"SUBASTA","CP",0.249315068493151
2009-03-19,2009-09-10,"COP",7.543,49999.994739,"SUBASTA","CP",0.479452054794521
2009-03-19,2010-02-25,"COP",7.54,39999.880366,"SUBASTA","CP",0.93972602739726
2009-03-19,2013-03-20,"UVR",4.186,100011.408756815,"SUBASTA","LP",3.54045891067549
2009-03-19,2023-02-23,"UVR",5.076,100011.47,"SUBASTA","LP",10.4060532338602
2009-03-24,2012-08-15,"COP",8.484,124620.0252,"NO COMPETITIVA","LP",2.92096211628075
2009-03-24,2014-05-14,"COP",8.948,124997.288744,"NO COMPETITIVA","LP",4.01262648455833
2009-03-24,2018-10-24,"COP",9.8,99693.74541,"NO COMPETITIVA","LP",6.22109857333184
2009-03-25,2012-08-15,"COP",7.929,99999.99837,"SUBASTA","LP",2.92282712112315
2009-03-25,2014-05-14,"COP",8.55,99999.99123,"SUBASTA","LP",4.02085231478574
2009-03-25,2024-07-24,"COP",9.67,99999.87681,"SUBASTA","LP",8.02799506479744
2009-03-26,2009-06-18,"COP",7,59999.65846,"SUBASTA","CP",0.23013698630137
2009-03-26,2009-09-10,"COP",7.05,49999.839525,"SUBASTA","CP",0.46027397260274
2009-03-26,2010-02-25,"COP",7.1,39999.87767,"SUBASTA","CP",0.920547945205479
2009-04-02,2009-07-16,"COP",7.14,59999.99272,"SUBASTA","CP",0.287671232876712
2009-04-02,2009-10-08,"COP",7.049,49999.978368,"SUBASTA","CP",0.517808219178082
2009-04-02,2010-03-25,"COP",7.03,39999.918222,"SUBASTA","CP",0.978082191780822
2009-04-06,2012-08-15,"COP",8.109,99749.017998,"NO COMPETITIVA","LP",2.88845883212024
2009-04-06,2014-05-14,"COP",8.669,99461.002128,"NO COMPETITIVA","LP",3.98470156300564
2009-04-06,2024-07-24,"COP",9.676,36621.86055,"NO COMPETITIVA","LP",7.99347044354681
2009-04-08,2012-08-15,"COP",7.62,99999.989936,"SUBASTA","LP",2.88702733241786
2009-04-08,2014-05-14,"COP",8.25,99999.830655,"SUBASTA","LP",3.99073243423287
2009-04-08,2024-07-24,"COP",9.579,99999.992514,"SUBASTA","LP",8.01465029156424
2009-04-13,2009-07-16,"COP",7.03,59999.942142,"SUBASTA","CP",0.257534246575343
2009-04-13,2009-10-08,"COP",7.08,49999.950959,"SUBASTA","CP",0.487671232876712
2009-04-13,2010-03-25,"COP",7.1,39999.85335,"SUBASTA","CP",0.947945205479452
2009-04-15,2013-03-20,"UVR",4.05,100001.215123084,"SUBASTA","LP",3.64610530543439
2009-04-15,2023-02-23,"UVR",5.039,100001.204665112,"SUBASTA","LP",10.3394612235279
2009-04-16,2009-07-16,"COP",6.99,59999.78604,"SUBASTA","CP",0.249315068493151
2009-04-16,2009-10-08,"COP",7,49999.686264,"SUBASTA","CP",0.47945205479452
2009-04-16,2010-03-25,"COP",7.09,39999.919238,"SUBASTA","CP",0.93972602739726
2009-04-20,2012-08-15,"COP",7.851,89176.65636,"NO COMPETITIVA","LP",2.85224004054689
2009-04-20,2014-05-14,"COP",8.436,76178.173082,"NO COMPETITIVA","LP",3.95275220308339
2009-04-20,2024-07-24,"COP",9.635,99616.173342,"NO COMPETITIVA","LP",7.9663779461284
2009-04-22,2012-08-15,"COP",6.98,99999.789538,"SUBASTA","LP",2.85394906265237
2009-04-22,2014-05-14,"COP",7.399,99999.89999,"SUBASTA","LP",3.97560055464424
2009-04-22,2024-07-24,"COP",9.02,99999.977528,"SUBASTA","LP",8.13064311476317
2009-04-23,2009-07-16,"COP",6.6,59999.82352,"SUBASTA","CP",0.23013698630137
2009-04-23,2009-10-08,"COP",6.67,49999.84576,"SUBASTA","CP",0.46027397260274
2009-04-23,2010-03-25,"COP",6.65,39999.793074,"SUBASTA","CP",0.920547945205479
2009-04-30,2009-08-13,"COP",6.281,59999.977378,"SUBASTA","CP",0.287671232876712
2009-04-30,2009-11-05,"COP",6.31,49999.702814,"SUBASTA","CP",0.517808219178082
2009-04-30,2010-04-22,"COP",6.31,39999.903588,"SUBASTA","CP",0.978082191780822
2009-05-04,2012-08-15,"COP",7.281,99670.326635,"NO COMPETITIVA","LP",2.81859293581663
2009-05-04,2014-05-14,"COP",7.69,99388.380288,"NO COMPETITIVA","LP",3.93480570387019
2009-05-04,2024-07-24,"COP",9.203,98786.32357,"NO COMPETITIVA","LP",8.04710826743642
2009-05-07,2009-08-13,"COP",6.15,59999.78972,"SUBASTA","CP",0.268493150684932
2009-05-07,2009-11-05,"COP",6.19,49999.9659,"SUBASTA","CP",0.498630136986301
2009-05-07,2010-04-22,"COP",6.22,39999.944606,"SUBASTA","CP",0.958904109589041
2009-05-13,2012-08-15,"COP",6.6,69999.904096,"SUBASTA","LP",2.79953770996935
2009-05-13,2014-05-14,"COP",7.21,69999.92822,"SUBASTA","LP",3.92319581550213
2009-05-13,2024-07-24,"COP",8.774,69999.965574,"SUBASTA","LP",8.14139049584709
2009-05-14,2009-08-13,"COP",5.9,59999.649773,"SUBASTA","CP",0.249315068493151
2009-05-14,2009-11-05,"COP",6,49999.87818,"SUBASTA","CP",0.47945205479452
2009-05-14,2010-04-22,"COP",5.98,39999.99872,"SUBASTA","CP",0.93972602739726
2009-05-20,2013-03-20,"UVR",3.598,100646.286871422,"SUBASTA","LP",3.55275392019091
2009-05-20,2023-02-23,"UVR",4.534,100646.2009325,"SUBASTA","LP",10.3435293122868
2009-05-21,2009-08-13,"COP",5.54,59999.96483,"SUBASTA","CP",0.23013698630137
2009-05-21,2009-11-05,"COP",5.64,49999.906728,"SUBASTA","CP",0.46027397260274
2009-05-21,2010-04-22,"COP",5.68,39999.946372,"SUBASTA","CP",0.920547945205479
2009-05-27,2012-08-15,"COP",6.9,69999.956104,"SUBASTA","LP",2.75871677837907
2009-05-27,2014-05-14,"COP",7.35,69999.87393,"SUBASTA","LP",4.2173739599224
2009-05-27,2024-07-24,"COP",8.949,69999.984702,"SUBASTA","LP",8.05443888270126
2009-05-28,2009-09-10,"COP",5.591,59999.902408,"SUBASTA","CP",0.287671232876712
2009-05-28,2009-12-03,"COP",5.593,49999.982532,"SUBASTA","CP",0.517808219178082
2009-05-28,2010-05-20,"COP",6.489,39999.999284,"SUBASTA","CP",0.978082191780822
