"Fecha","Entidades_Publicas"
"2009-01-31",1848.87790769535
"2009-02-28",1386.79493830863
"2009-03-31",1106.11325761673
"2009-04-30",1062.5726666823
"2009-05-31",2787.7913830221
"2009-06-30",813.20639602828
"2009-07-31",1513.12087022516
"2009-08-31",803.924714562
"2009-09-30",1028.64177382756
"2009-10-31",688.48211729
"2009-11-30",791.405105376
"2009-12-31",1098.096394091
"2010-01-31",1917.71889544351
"2010-02-28",1730.866043109
"2010-03-31",768.078994388
"2010-04-30",779.77272333802
"2010-05-31",997.3127439169
"2010-06-30",623.883254165
"2010-07-31",1053.811081886
"2010-08-31",885.49986006493
"2010-09-30",840.23340911085
"2010-10-31",805.928177751
"2010-11-30",1536.38478672564
"2010-12-31",684.23242091138
"2011-01-31",627.09860804008
"2011-02-28",825.16462793128
"2011-03-31",842.16401510706
"2011-04-30",1515.54344234771
"2011-05-31",1981.44892916502
"2011-06-30",1343.6111574516
"2011-07-31",843.77288245744
"2011-08-31",831.906232651
"2011-09-30",579.319550576
"2011-10-31",839.29399891292
"2011-11-30",787.74432308927
"2011-12-31",705.71253540775
"2012-01-31",1566.06577824316
"2012-02-29",994.10391445436
"2012-03-31",487.382405015
"2012-04-30",718.73509222551
"2012-05-31",480.919592533
"2012-06-30",861.20538401965
"2012-07-31",896.1176675669
"2012-08-31",1345.56454372
"2012-09-30",284.69002514
"2012-10-31",648.139333344
"2012-11-30",364.136935524
"2012-12-31",420.247584607
"2013-01-31",898.452427425
"2013-02-28",642.01808319408
"2013-03-31",945.08738635961
"2013-04-30",1394.306443847
"2013-05-31",581.993288113
"2013-06-30",937.5585532044
"2013-07-31",965.48970401966
"2013-08-31",880.178463509
"2013-09-30",903.6440616753
"2013-10-31",606.59411081103
"2013-11-30",1331
"2013-12-31",533
"2014-01-31",1327.37478640242
"2014-02-28",478.349299625068
"2014-03-31",1192.00607186945
"2014-04-30",1862.6857209726
"2014-05-31",1165.22609007885
"2014-06-30",722.20267444962
"2014-07-31",627.643580611
"2014-08-31",332.856847947
"2014-09-30",1021.27580224829
"2014-10-31",503.55701429017
"2014-11-30",568.98870837028
"2014-12-31",441.46040362088
"2015-01-31",663.33780225797
"2015-02-28",472.40648658125
"2015-03-31",785.7760775916
"2015-04-30",1469.145210751
"2015-05-31",555.176736259
"2015-06-30",321.21220436808
"2015-07-31",941.125428916662
"2015-08-31",437.26036099164
"2015-09-30",617.70537964379
"2015-10-31",471.56719991646
"2015-11-30",678.626841262564
"2015-12-31",136.65177016715
"2016-01-31",772.32921417785
"2016-02-29",282.4335465528
"2016-03-31",880.55391506797
"2016-04-30",1588.79608683703
"2016-05-31",1260.10226614119
"2016-06-30",2357.12398613628
"2016-07-31",1794.52930121016
"2016-08-31",632.17595739155
"2016-09-30",1537.26777918321
"2016-10-31",1117.45189351796
"2016-11-30",777.38469704922
"2016-12-31",254.56668901488
"2017-01-31",889.21966053046
"2017-02-28",779.38868356739
"2017-03-31",1003.11850100945
"2017-04-30",2113.4308964429
"2017-05-31",1984.17071683748
"2017-06-30",926.85915986839
"2017-07-31",492.74811288079
"2017-08-31",444.97796547702
"2017-09-30",126.86854453743
"2017-10-31",396.84249868415
"2017-11-30",362.43928366611
"2017-12-01",198.78990396626
"2018-01-01",994.59553420754
"2018-02-01",980.419319854022
"2018-03-01",646.01690897444
"2018-04-01",757.37859919671
"2018-05-01",1451.31418620005
"2018-06-30",385.91612867135
"2018-07-31",800.517642001342
"2018-08-31",441.66821488192
"2018-09-30",250.20671474942
"2018-10-31",448.20945471775
"2018-11-30",461.84445926997
"2018-12-31",236.41928181886
"2019-01-31",755
"2019-02-28",713.040105218
"2019-03-31",963.54626952858
"2019-04-30",495.40849011036
"2019-05-31",655.59338831984
"2019-06-30",36.140592686
"2019-07-31",277.212774949
"2019-08-31",100.522428756
"2019-09-30",135.479614601
"2019-10-31",58.143376893
"2019-11-30",137.683786785
"2019-12-31",38
"2020-01-31",955.07497090264
"2020-02-29",1204.28089045292
"2020-03-31",649.98334384321
"2020-04-30",0
"2020-05-31",429.98792714635
"2020-06-30",250.88515364927
"2020-07-31",194.40158728742
"2020-08-31",644.37814856828
"2020-09-30",221
"2020-10-31",0
"2020-11-30",0
"2020-12-31",0
"2021-01-31",710.61376585296
"2021-02-28",465.98803010654
"2021-03-31",419.49742447596
"2021-04-30",572.72299230997
"2021-05-31",634.50034825661
"2021-06-30",281.24925279016
"2021-07-31",892.63594528335
"2021-08-31",620.36029672099
"2021-09-30",623.71317789888
"2021-10-31",494.23300913164
"2021-11-30",490.69750488423
"2021-12-31",125.651634544
"2022-01-31",53.66439
"2022-02-28",5.90781398064
"2022-03-31",134.11564101174
"2022-04-30",224.36294923829
"2022-05-31",207.02646872456
"2022-06-30",94.04532124811
"2022-07-31",2166.38088990031
"2022-08-31",98.23875651069
"2022-09-30",22.48043198733
"2022-10-31",14.02230790572
"2022-11-30",44.61694351612
"2022-12-31",116.04397373069
"2023-01-31",36.78078
"2023-02-28",464.74757724677
"2023-03-31",191.5928010061
"2023-04-30",77.55437653571
"2023-05-31",21.56294860386
"2023-06-30",4.94969148196
"2023-07-31",49.6576385942
"2023-08-31",4.29242206085
"2023-09-30",9.20314803591
"2023-10-31",1022.55756591063
"2023-11-30",849.04094419262
"2023-12-31",335.987733654
"2024-01-31",58.71880434474
"2024-02-29",15.40922098547
"2024-03-31",1739.06692588071
"2024-04-30",67.77767288907
"2024-05-31",241.03678960316
"2024-06-30",308.788629024872
"2024-07-31",325.29001048
"2024-08-31",551.858080516261
"2024-09-30",0
"2024-10-29",0
"2024-11-30",1699.9992031679
"2024-12-31",1775.23928284539
"2025-01-31",6255.67765481475
"2025-02-28",4616.01119216128
"2025-03-31",3542.22568522948
"2025-04-30",16.8481790217
"2025-05-31",0
"2025-06-30",255.45444
"2025-07-31",0
"2025-08-31",5417.21781
"2025-09-30",1661.22641
"2025-10-31",0
"2025-11-30",0
"2025-12-31",2326.49088743965
"2026-01-31",165.80356491418
"2026-02-28",14506.24214
"2026-03-31",1612.32207
"2026-04-30",2201.996467528
"2026-05-31",1556.622241755
"2026-06-30",475.646868889328
