"Entidad","Periodo","Valor"
"Bancos Comerciales","2013-01-01",33213139.5903371
"Carteras Colectivas y Fondos Administrados","2013-01-01",2975442.2377905
"Comisionistas de Bolsa","2013-01-01",698888.393193909
"Compañias de Financiamiento Comercial","2013-01-01",38541.581
"Compañias de Seguros y Capitalizacion","2013-01-01",8221313.42670179
"Cooperativas Grado Super. Caracter Finan","2013-01-01",14000
"Corporaciones Financieras","2013-01-01",648984.393564822
"Entidades Publicas","2013-01-01",12645764.3061307
"Entidades sin Animo de Lucro","2013-01-01",179627.4318683
"Fiducia Publica","2013-01-01",26422116.5730149
"Fondos de Capital Extranjero","2013-01-01",5899834.8895175
"Fondos de Pensiones y Cesantias","2013-01-01",42821158.912448
"Fondos de Prima Media","2013-01-01",3528944.25165187
"Instituciones Oficiales Especiales","2013-01-01",8363885.24856837
"Ministerio de Hacienda y CP","2013-01-01",2161555.8432163
"Otros Fondos","2013-01-01",30124.674513
"Personas Juridicas","2013-01-01",840633.161343981
"Personas Naturales","2013-01-01",202830.6669169
"Proveedores de Infraestructura","2013-01-01",864672.7072885
"Administradoras de Carteras Colectivas y de Fdos Pensiones y Cesantias","2013-02-01",413722.98550035
"Banco de la Republica","2013-02-01",585298.86051306
"Bancos Comerciales","2013-02-01",33334488.2456463
"Carteras Colectivas y Fondos Administrados","2013-02-01",3180849.9979409
"Comisionistas de Bolsa","2013-02-01",706073.064477372
"Compañias de Financiamiento Comercial","2013-02-01",39000
"Compañias de Seguros y Capitalizacion","2013-02-01",8137529.85895842
"Cooperativas Grado Super. Caracter Finan","2013-02-01",21000
"Corporaciones Financieras","2013-02-01",1094182.874787
"Entidades Publicas","2013-02-01",12279081.1428423
"Entidades sin Animo de Lucro","2013-02-01",135776.1250059
"Fiducia Publica","2013-02-01",25751931.5601804
"Fondos de Capital Extranjero","2013-02-01",6501339.2963525
"Fondos de Pensiones y Cesantias","2013-02-01",43477162.3333307
"Fondos de Prima Media","2013-02-01",3578819.95880947
"Instituciones Oficiales Especiales","2013-02-01",8622099.37875884
"Ministerio de Hacienda y CP","2013-02-01",3270256.8679151
"Otros Fondos","2013-02-01",30042.808649
"Personas Juridicas","2013-02-01",742644.525794918
"Personas Naturales","2013-02-01",176487.5764437
"Proveedores de Infraestructura","2013-02-01",871977.9149605
"Administradoras de Carteras Colectivas y de Fdos Pensiones y Cesantias","2013-03-01",267947.86200035
"Banco de la Republica","2013-03-01",215689.47677976
"Bancos Comerciales","2013-03-01",31144233.3048254
"Carteras Colectivas y Fondos Administrados","2013-03-01",2640969.1161808
"Comisionistas de Bolsa","2013-03-01",644534.327600311
"Compañias de Financiamiento Comercial","2013-03-01",32075
"Compañias de Seguros y Capitalizacion","2013-03-01",7895115.23897591
"Cooperativas Grado Super. Caracter Finan","2013-03-01",18500
"Corporaciones Financieras","2013-03-01",644829.820368457
"Entidades Publicas","2013-03-01",12486063.0557826
"Entidades sin Animo de Lucro","2013-03-01",109258.178392
"Fiducia Publica","2013-03-01",25545492.5549425
"Fondos de Capital Extranjero","2013-03-01",6392715.6631592
"Fondos de Pensiones y Cesantias","2013-03-01",43710205.4041317
"Fondos de Prima Media","2013-03-01",3570879.68685527
"Instituciones Oficiales Especiales","2013-03-01",8735830.62578451
"Ministerio de Hacienda y CP","2013-03-01",2702464.7497524
"Otros Fondos","2013-03-01",27451.244
"Personas Juridicas","2013-03-01",666270.090644579
"Personas Naturales","2013-03-01",180518.7552864
"Proveedores de Infraestructura","2013-03-01",903907.9840268
"Administradoras de Carteras Colectivas y de Fdos Pensiones y Cesantias","2013-04-01",267257.94000035
"Banco de la Republica","2013-04-01",24205.04444116
"Bancos Comerciales","2013-04-01",29996331.0970299
"Carteras Colectivas y Fondos Administrados","2013-04-01",2542553.253474
"Comisionistas de Bolsa","2013-04-01",594307.130580954
"Compañias de Financiamiento Comercial","2013-04-01",29075
"Compañias de Seguros y Capitalizacion","2013-04-01",7754970.4374612
"Cooperativas Grado Super. Caracter Finan","2013-04-01",24301
"Corporaciones Financieras","2013-04-01",971232.958950208
"Entidades Publicas","2013-04-01",11544979.7562464
"Entidades sin Animo de Lucro","2013-04-01",106449.39586
"Fiducia Publica","2013-04-01",25963291.9916061
"Fondos de Capital Extranjero","2013-04-01",7089128.946206
"Fondos de Pensiones y Cesantias","2013-04-01",44751515.3110347
"Fondos de Prima Media","2013-04-01",3459774.27102207
"Instituciones Oficiales Especiales","2013-04-01",8400356.51902257
"Ministerio de Hacienda y CP","2013-04-01",2038924.169467
"Otros Fondos","2013-04-01",25122.17
"Personas Juridicas","2013-04-01",604430.982190536
"Personas Naturales","2013-04-01",197513.413972
"Proveedores de Infraestructura","2013-04-01",824940.607069
"Administradoras de Carteras Colectivas y de Fdos Pensiones y Cesantias","2013-05-01",299573.54425
"Banco de la Republica","2013-05-01",23491.50972741
"Bancos Comerciales","2013-05-01",30139352.5584328
"Carteras Colectivas y Fondos Administrados","2013-05-01",2306982.3936362
"Comisionistas de Bolsa","2013-05-01",551927.569283341
"Compañias de Financiamiento Comercial","2013-05-01",18066.7
"Compañias de Seguros y Capitalizacion","2013-05-01",7906442.8729915
"Cooperativas Grado Super. Caracter Finan","2013-05-01",14638
"Corporaciones Financieras","2013-05-01",1360401.18787103
"Entidades Publicas","2013-05-01",11736325.5483437
"Entidades sin Animo de Lucro","2013-05-01",113078.408638
"Fiducia Publica","2013-05-01",26600872.10302
"Fondos de Capital Extranjero","2013-05-01",6984809.7275998
"Fondos de Pensiones y Cesantias","2013-05-01",45406156.4648422
"Fondos de Prima Media","2013-05-01",3426424.68630997
"Instituciones Oficiales Especiales","2013-05-01",8289869.77529206
"Ministerio de Hacienda y CP","2013-05-01",2222667.7479261
"Otros Fondos","2013-05-01",26682.191
"Personas Juridicas","2013-05-01",686890.634072249
"Personas Naturales","2013-05-01",215848.5525676
"Proveedores de Infraestructura","2013-05-01",802605.5681227
"Administradoras de Carteras Colectivas y de Fdos Pensiones y Cesantias","2013-06-01",279229.76375
"Banco de la Republica","2013-06-01",23547.21572061
"Bancos Comerciales","2013-06-01",30231224.2223066
"Carteras Colectivas y Fondos Administrados","2013-06-01",1460841.1589578
"Comisionistas de Bolsa","2013-06-01",470159.895866063
"Compañias de Financiamiento Comercial","2013-06-01",19946.7
"Compañias de Seguros y Capitalizacion","2013-06-01",8047909.70446604
"Cooperativas Grado Super. Caracter Finan","2013-06-01",37291.7
"Corporaciones Financieras","2013-06-01",1961296.2590841
"Entidades Publicas","2013-06-01",10637119.0305881
"Entidades sin Animo de Lucro","2013-06-01",98070.333622
"Fiducia Publica","2013-06-01",27214587.5165037
"Fondos de Capital Extranjero","2013-06-01",8005847.8026862
"Fondos de Pensiones y Cesantias","2013-06-01",45287651.8880712
"Fondos de Prima Media","2013-06-01",3551258.00646837
"Instituciones Oficiales Especiales","2013-06-01",8433863.25757427
"Ministerio de Hacienda y CP","2013-06-01",4012882.9766209
"Otros Fondos","2013-06-01",27764.8320423
"Personas Juridicas","2013-06-01",600977.862239827
"Personas Naturales","2013-06-01",229410.7460426
"Proveedores de Infraestructura","2013-06-01",843094.9850063
"Administradoras de Carteras Colectivas y de Fdos Pensiones y Cesantias","2013-07-01",279395.9745
"Banco de la Republica","2013-07-01",23602.58053011
"Bancos Comerciales","2013-07-01",32442423.5382035
"Carteras Colectivas y Fondos Administrados","2013-07-01",2026073.9655188
"Comisionistas de Bolsa","2013-07-01",575442.383507399
"Compañias de Financiamiento Comercial","2013-07-01",24446.7
"Compañias de Seguros y Capitalizacion","2013-07-01",8363647.13790604
"Cooperativas Grado Super. Caracter Finan","2013-07-01",52093.3
"Corporaciones Financieras","2013-07-01",1246434.50443819
"Entidades Publicas","2013-07-01",10884345.8781996
"Entidades sin Animo de Lucro","2013-07-01",105714.060012
"Fiducia Publica","2013-07-01",27250181.8726369
"Fondos de Capital Extranjero","2013-07-01",9112063.7277052
"Fondos de Pensiones y Cesantias","2013-07-01",46047702.8773177
"Fondos de Prima Media","2013-07-01",3598505.15245737
"Instituciones Oficiales Especiales","2013-07-01",8241069.72880547
"Ministerio de Hacienda y CP","2013-07-01",3100905.9732914
"Otros Fondos","2013-07-01",27872.934
"Personas Juridicas","2013-07-01",556229.162904491
"Personas Naturales","2013-07-01",226087.9238772
"Proveedores de Infraestructura","2013-07-01",827605.047685
"Administradoras de Carteras Colectivas y de Fdos Pensiones y Cesantias","2013-08-01",319914.546
"Banco de la Republica","2013-08-01",23630.88843831
"Bancos Comerciales","2013-08-01",32760955.8434625
"Carteras Colectivas y Fondos Administrados","2013-08-01",2169379.8374104
"Comisionistas de Bolsa","2013-08-01",564949.06739984
"Compañias de Financiamiento Comercial","2013-08-01",25729.1
"Compañias de Seguros y Capitalizacion","2013-08-01",8619174.62734547
"Cooperativas Grado Super. Caracter Finan","2013-08-01",54296.3
"Corporaciones Financieras","2013-08-01",1457291.06232171
"Entidades Publicas","2013-08-01",11211311.004499
"Entidades sin Animo de Lucro","2013-08-01",122743.1529104
"Fiducia Publica","2013-08-01",27564286.1048127
"Fondos de Capital Extranjero","2013-08-01",9180144.0290576
"Fondos de Pensiones y Cesantias","2013-08-01",47033919.4902856
"Fondos de Prima Media","2013-08-01",3594961.23884577
"Instituciones Oficiales Especiales","2013-08-01",8193845.02143125
"Ministerio de Hacienda y CP","2013-08-01",3023126.3636712
"Otros Fondos","2013-08-01",27861.672
"Personas Juridicas","2013-08-01",618351.71655065
"Personas Naturales","2013-08-01",248424.9879312
"Proveedores de Infraestructura","2013-08-01",871906.81498
"Administradoras de Carteras Colectivas y de Fdos Pensiones y Cesantias","2013-09-01",369035.34875
"Banco de la Republica","2013-09-01",23643.63630201
"Bancos Comerciales","2013-09-01",34108199.615326
"Carteras Colectivas y Fondos Administrados","2013-09-01",2152275.934711
"Comisionistas de Bolsa","2013-09-01",600551.035306066
"Compañias de Financiamiento Comercial","2013-09-01",27946.7
"Compañias de Seguros y Capitalizacion","2013-09-01",8974457.32317996
"Cooperativas Grado Super. Caracter Finan","2013-09-01",68995.9
"Corporaciones Financieras","2013-09-01",1374913.44607117
"Entidades Publicas","2013-09-01",11475193.8496919
"Entidades sin Animo de Lucro","2013-09-01",119769.173351
"Fiducia Publica","2013-09-01",27324640.2303819
"Fondos de Capital Extranjero","2013-09-01",10181102.323069
"Fondos de Pensiones y Cesantias","2013-09-01",48324510.938226
"Fondos de Prima Media","2013-09-01",3564948.65367517
"Instituciones Oficiales Especiales","2013-09-01",8194806.79610969
"Ministerio de Hacienda y CP","2013-09-01",2677014.6602155
"Otros Fondos","2013-09-01",28232.905
"Personas Juridicas","2013-09-01",626773.800301924
"Personas Naturales","2013-09-01",227208.086803
"Proveedores de Infraestructura","2013-09-01",958532.9808875
"Administradoras de Carteras Colectivas y de Fdos Pensiones y Cesantias","2013-10-01",382837.208
"Banco de la Republica","2013-10-01",504684.40258471
"Bancos Comerciales","2013-10-01",33333192.4154279
"Carteras Colectivas y Fondos Administrados","2013-10-01",2422327.8683336
"Comisionistas de Bolsa","2013-10-01",588968.942954964
"Compañias de Financiamiento Comercial","2013-10-01",31446.7
"Compañias de Seguros y Capitalizacion","2013-10-01",9218168.44326807
"Cooperativas Grado Super. Caracter Finan","2013-10-01",55565.424
"Corporaciones Financieras","2013-10-01",1228054.28855762
"Entidades Publicas","2013-10-01",11671847.6137078
"Entidades sin Animo de Lucro","2013-10-01",149332.3080976
"Fiducia Publica","2013-10-01",28466912.2625262
"Fondos de Capital Extranjero","2013-10-01",11394589.4321024
"Fondos de Pensiones y Cesantias","2013-10-01",49175277.2762666
"Fondos de Prima Media","2013-10-01",3465637.05208257
"Instituciones Oficiales Especiales","2013-10-01",8250222.04240094
"Ministerio de Hacienda y CP","2013-10-01",2482483.0533008
"Otros Fondos","2013-10-01",26516.848
"Personas Juridicas","2013-10-01",660693.909385126
"Personas Naturales","2013-10-01",242412.7419408
"Proveedores de Infraestructura","2013-10-01",897837.6394288
"Administradoras de Carteras Colectivas y de Fdos Pensiones y Cesantias","2013-11-01",365801.05125
"Banco de la Republica","2013-11-01",23686.54273701
"Bancos Comerciales","2013-11-01",32066771.8666031
"Carteras Colectivas y Fondos Administrados","2013-11-01",2140611.166731
"Comisionistas de Bolsa","2013-11-01",585657.609345846
"Compañias de Financiamiento Comercial","2013-11-01",30340.9
"Compañias de Seguros y Capitalizacion","2013-11-01",9204277.00280138
"Cooperativas Grado Super. Caracter Finan","2013-11-01",47000
"Corporaciones Financieras","2013-11-01",1917128.55372183
"Entidades Publicas","2013-11-01",12145295.2020869
"Entidades sin Animo de Lucro","2013-11-01",139705.4038085
"Fiducia Publica","2013-11-01",28246238.401032
"Fondos de Capital Extranjero","2013-11-01",10946490.744729
"Fondos de Pensiones y Cesantias","2013-11-01",48394593.1429407
"Fondos de Prima Media","2013-11-01",3305925.21664517
"Instituciones Oficiales Especiales","2013-11-01",8177648.10767542
"Ministerio de Hacienda y CP","2013-11-01",2143369.9341805
"Otros Fondos","2013-11-01",25087.055
"Personas Juridicas","2013-11-01",660595.770984144
"Personas Naturales","2013-11-01",237500.928879
"Proveedores de Infraestructura","2013-11-01",819071.8124355
"Administradoras de Carteras Colectivas y de Fdos Pensiones y Cesantias","2013-12-01",335184.88625
"Banco de la Republica","2013-12-01",23634.08315841
"Bancos Comerciales","2013-12-01",33032442.3350307
"Carteras Colectivas y Fondos Administrados","2013-12-01",2135711.0821742
"Comisionistas de Bolsa","2013-12-01",491741.632779969
"Compañias de Financiamiento Comercial","2013-12-01",30946.7
"Compañias de Seguros y Capitalizacion","2013-12-01",9016259.37502079
"Cooperativas Grado Super. Caracter Finan","2013-12-01",57836
"Corporaciones Financieras","2013-12-01",2016045.27205314
"Entidades Publicas","2013-12-01",11681788.8229207
"Entidades sin Animo de Lucro","2013-12-01",132008.0255997
"Fiducia Publica","2013-12-01",28688715.4210233
"Fondos de Capital Extranjero","2013-12-01",11147136.7896778
"Fondos de Pensiones y Cesantias","2013-12-01",48738082.1477468
"Fondos de Prima Media","2013-12-01",3285251.76693197
"Instituciones Oficiales Especiales","2013-12-01",8131685.27508156
"Ministerio de Hacienda y CP","2013-12-01",1340350.8948351
"Otros Fondos","2013-12-01",26519.1715
"Personas Juridicas","2013-12-01",664020.483199721
"Personas Naturales","2013-12-01",227268.7746411
"Proveedores de Infraestructura","2013-12-01",860418.6232761
"Administradoras de Carteras Colectivas y de Fdos Pensiones y Cesantias","2014-01-01",409836.08825
"Banco de la Republica","2014-01-01",23639.97633141
"Bancos Comerciales","2014-01-01",34634980.5434265
"Carteras Colectivas y Fondos Administrados","2014-01-01",2519081.8963542
"Comisionistas de Bolsa","2014-01-01",523181.447501993
"Compañias de Financiamiento Comercial","2014-01-01",29946.7
"Compañias de Seguros y Capitalizacion","2014-01-01",9244996.64435673
"Cooperativas Grado Super. Caracter Finan","2014-01-01",54257.9
"Corporaciones Financieras","2014-01-01",2588609.78976817
"Entidades Publicas","2014-01-01",11803968.6932617
"Entidades sin Animo de Lucro","2014-01-01",126712.9159232
"Fiducia Publica","2014-01-01",29307137.1132582
"Fondos de Capital Extranjero","2014-01-01",11215665.7524118
"Fondos de Pensiones y Cesantias","2014-01-01",47461042.6974225
"Fondos de Prima Media","2014-01-01",3633406.03835797
"Instituciones Oficiales Especiales","2014-01-01",8257837.4354171
"Ministerio de Hacienda y CP","2014-01-01",3366669.0309821
"Otros Fondos","2014-01-01",29272.477293
"Personas Juridicas","2014-01-01",655214.471034697
"Personas Naturales","2014-01-01",209140.9455746
"Proveedores de Infraestructura","2014-01-01",527512.9721931
"Administradoras de Carteras Colectivas y de Fdos Pensiones y Cesantias","2014-02-01",401309.4355
"Banco de la Republica","2014-02-01",23715.89487411
"Bancos Comerciales","2014-02-01",36873671.460393
"Carteras Colectivas y Fondos Administrados","2014-02-01",2478108.8002708
"Comisionistas de Bolsa","2014-02-01",383044.106875071
"Compañias de Financiamiento Comercial","2014-02-01",31446.7
"Compañias de Seguros y Capitalizacion","2014-02-01",9291983.87290965
"Cooperativas Grado Super. Caracter Finan","2014-02-01",60500
"Corporaciones Financieras","2014-02-01",1736223.66616538
"Entidades Publicas","2014-02-01",10660849.2282476
"Entidades sin Animo de Lucro","2014-02-01",128584.0662308
"Fiducia Publica","2014-02-01",29384060.617638
"Fondos de Capital Extranjero","2014-02-01",11799443.7461012
"Fondos de Pensiones y Cesantias","2014-02-01",47896064.9920137
"Fondos de Prima Media","2014-02-01",3646629.43338537
"Instituciones Oficiales Especiales","2014-02-01",8693240.47476942
"Ministerio de Hacienda y CP","2014-02-01",4037498.7653454
"Otros Fondos","2014-02-01",30084.188
"Personas Juridicas","2014-02-01",674715.402949219
"Personas Naturales","2014-02-01",225017.1254044
"Proveedores de Infraestructura","2014-02-01",513232.2158414
"Administradoras de Carteras Colectivas y de Fdos Pensiones y Cesantias","2014-03-31",369298.859
"Banco de la Republica","2014-03-31",1170916.00578831
"Bancos Comerciales","2014-03-31",38535146.6792028
"Carteras Colectivas y Fondos Administrados","2014-03-31",2491469.7322504
"Comisionistas de Bolsa","2014-03-31",512884.836391229
"Compañias de Financiamiento Comercial","2014-03-31",33446.7
"Compañias de Seguros y Capitalizacion","2014-03-31",10146500.3254888
"Cooperativas Grado Super. Caracter Finan","2014-03-31",58699.834
"Corporaciones Financieras","2014-03-31",2057384.39136186
"Entidades Publicas","2014-03-31",10962186.3754482
"Entidades sin Animo de Lucro","2014-03-31",172438.9561392
"Fiducia Publica","2014-03-31",29500625.1835217
"Fondos de Capital Extranjero","2014-03-31",14414238.8826428
"Fondos de Pensiones y Cesantias","2014-03-31",47923829.7858872
"Fondos de Prima Media","2014-03-31",3686490.05199697
"Instituciones Oficiales Especiales","2014-03-31",8758490.81003665
"Ministerio de Hacienda y CP","2014-03-31",2249352.1050276
"Otros Fondos","2014-03-31",29869.1344
"Personas Juridicas","2014-03-31",635304.887293261
"Personas Naturales","2014-03-31",251494.3424472
"Proveedores de Infraestructura","2014-03-31",530087.5919436
"Administradoras de Carteras Colectivas y de Fdos Pensiones y Cesantias","2014-04-30",401293.153
"Banco de la Republica","2014-04-30",1173090.84256671
"Bancos Comerciales","2014-04-30",36164494.9530827
"Carteras Colectivas y Fondos Administrados","2014-04-30",2954314.2425904
"Comisionistas de Bolsa","2014-04-30",512841.837583271
"Compañias de Financiamiento Comercial","2014-04-30",32446.7
"Compañias de Seguros y Capitalizacion","2014-04-30",10240633.4302037
"Cooperativas Grado Super. Caracter Finan","2014-04-30",58718.088
"Corporaciones Financieras","2014-04-30",2322378.16260838
"Entidades Publicas","2014-04-30",11233733.1981226
"Entidades sin Animo de Lucro","2014-04-30",177739.1744808
"Fiducia Publica","2014-04-30",30549822.552743
"Fondos de Capital Extranjero","2014-04-30",15659233.524122
"Fondos de Pensiones y Cesantias","2014-04-30",48971426.784855
"Fondos de Prima Media","2014-04-30",3688311.54147537
"Instituciones Oficiales Especiales","2014-04-30",8622529.24396327
"Ministerio de Hacienda y CP","2014-04-30",5820770.5082924
"Otros Fondos","2014-04-30",30680.7836
"Personas Juridicas","2014-04-30",693312.588366419
"Personas Naturales","2014-04-30",234102.7913604
"Proveedores de Infraestructura","2014-04-30",520207.5000164
"Administradoras de Carteras Colectivas y de Fdos Pensiones y Cesantias","2014-05-31",350966.36
"Banco de la Republica","2014-05-31",3222.05661841
"Bancos Comerciales","2014-05-31",31265364.9797941
"Carteras Colectivas y Fondos Administrados","2014-05-31",2533154.2925332
"Comisionistas de Bolsa","2014-05-31",409446.52854039
"Compañias de Financiamiento Comercial","2014-05-31",22946.7
"Compañias de Seguros y Capitalizacion","2014-05-31",10308415.1060022
"Cooperativas Grado Super. Caracter Finan","2014-05-31",51317.1705
"Corporaciones Financieras","2014-05-31",2142886.27084173
"Entidades Publicas","2014-05-31",11045883.0642973
"Entidades sin Animo de Lucro","2014-05-31",147210.6738266
"Fiducia Publica","2014-05-31",29634167.6727897
"Fondos de Capital Extranjero","2014-05-31",17062179.303605
"Fondos de Pensiones y Cesantias","2014-05-31",50610705.9732513
"Fondos de Prima Media","2014-05-31",3613457.07450957
"Instituciones Oficiales Especiales","2014-05-31",8381550.34283501
"Ministerio de Hacienda y CP","2014-05-31",4690884.4918673
"Otros Fondos","2014-05-31",29597.20155
"Personas Juridicas","2014-05-31",599842.3088986
"Personas Naturales","2014-05-31",195199.3730889
"Proveedores de Infraestructura","2014-05-31",507840.7886555
"Administradoras de Carteras Colectivas y de Fdos Pensiones y Cesantias","2014-06-30",398749.9885
"Banco de la Republica","2014-06-30",3225.62602981
"Bancos Comerciales","2014-06-30",32054618.7864113
"Carteras Colectivas y Fondos Administrados","2014-06-30",2388228.0205202
"Comisionistas de Bolsa","2014-06-30",393822.51215609
"Compañias de Financiamiento Comercial","2014-06-30",33734.6
"Compañias de Seguros y Capitalizacion","2014-06-30",10315189.6725563
"Cooperativas Grado Super. Caracter Finan","2014-06-30",53534.044
"Corporaciones Financieras","2014-06-30",1437859.24648627
"Entidades Publicas","2014-06-30",11207648.8253247
"Entidades sin Animo de Lucro","2014-06-30",143512.9758102
"Fiducia Publica","2014-06-30",29772085.0758433
"Fondos de Capital Extranjero","2014-06-30",19274986.9226193
"Fondos de Pensiones y Cesantias","2014-06-30",50929646.144722
"Fondos de Prima Media","2014-06-30",3657737.53578597
"Instituciones Oficiales Especiales","2014-06-30",8562168.86156146
"Ministerio de Hacienda y CP","2014-06-30",4581123.3139031
"Otros Fondos","2014-06-30",30230.5415
"Personas Juridicas","2014-06-30",589371.2789154
"Personas Naturales","2014-06-30",191711.4669812
"Proveedores de Infraestructura","2014-06-30",509805.9498673
"Administradoras de Carteras Colectivas y de Fdos Pensiones y Cesantias","2014-07-31",386923.6105
"Banco de la Republica","2014-07-31",3227.84534541
"Bancos Comerciales","2014-07-31",30781505.9445021
"Carteras Colectivas y Fondos Administrados","2014-07-31",2418869.0559456
"Comisionistas de Bolsa","2014-07-31",408544.87881319
"Compañias de Financiamiento Comercial","2014-07-31",38879.83975
"Compañias de Seguros y Capitalizacion","2014-07-31",10033425.0495449
"Cooperativas Grado Super. Caracter Finan","2014-07-31",52036.212
"Corporaciones Financieras","2014-07-31",1737850.28944649
"Entidades Publicas","2014-07-31",11191355.5171954
"Entidades sin Animo de Lucro","2014-07-31",129688.358464
"Fiducia Publica","2014-07-31",30207679.2777844
"Fondos de Capital Extranjero","2014-07-31",23349422.3158314
"Fondos de Pensiones y Cesantias","2014-07-31",50082960.0972678
"Fondos de Prima Media","2014-07-31",3708051.44911157
"Instituciones Oficiales Especiales","2014-07-31",8566058.56644243
"Ministerio de Hacienda y CP","2014-07-31",5710633.9194752
"Otros Fondos","2014-07-31",30862.406
"Personas Juridicas","2014-07-31",600514.1932892
"Personas Naturales","2014-07-31",192988.8393524
"Proveedores de Infraestructura","2014-07-31",472765.4076829
"Administradoras de Carteras Colectivas y de Fdos Pensiones y Cesantias","2014-08-31",395587.267
"Banco de la Republica","2014-08-31",3228.78560371
"Bancos Comerciales","2014-08-31",31415960.8135307
"Carteras Colectivas y Fondos Administrados","2014-08-31",2685732.7427788
"Comisionistas de Bolsa","2014-08-31",426495.98214649
"Compañias de Financiamiento Comercial","2014-08-31",26087.502
"Compañias de Seguros y Capitalizacion","2014-08-31",10019552.3849513
"Cooperativas Grado Super. Caracter Finan","2014-08-31",39568.317
"Corporaciones Financieras","2014-08-31",1775630.28104991
"Entidades Publicas","2014-08-31",11321353.4954454
"Entidades sin Animo de Lucro","2014-08-31",149930.2194428
"Fiducia Publica","2014-08-31",29784490.5191169
"Fondos de Capital Extranjero","2014-08-31",25573785.3121502
"Fondos de Pensiones y Cesantias","2014-08-31",51018230.9598962
"Fondos de Prima Media","2014-08-31",3725366.60373737
"Instituciones Oficiales Especiales","2014-08-31",8697043.90877853
"Ministerio de Hacienda y CP","2014-08-31",4069427.4557836
"Otros Fondos","2014-08-31",31392.568
"Personas Juridicas","2014-08-31",642254.9476646
"Personas Naturales","2014-08-31",200257.5088092
"Proveedores de Infraestructura","2014-08-31",470186.273449
"Administradoras de Carteras Colectivas y de Fdos Pensiones y Cesantias","2014-09-30",350870.6435
"Banco de la Republica","2014-09-30",2530.12877781
"Bancos Comerciales","2014-09-30",29985539.3158926
"Carteras Colectivas y Fondos Administrados","2014-09-30",2119208.3074538
"Comisionistas de Bolsa","2014-09-30",374860.52379479
"Compañias de Financiamiento Comercial","2014-09-30",35351.4235
"Compañias de Seguros y Capitalizacion","2014-09-30",9712285.9348459
"Cooperativas Grado Super. Caracter Finan","2014-09-30",42570.1605
"Corporaciones Financieras","2014-09-30",1798357.81006622
"Entidades Publicas","2014-09-30",11597300.3271954
"Entidades sin Animo de Lucro","2014-09-30",108375.6168233
"Fiducia Publica","2014-09-30",28856782.878758
"Fondos de Capital Extranjero","2014-09-30",25907936.5479663
"Fondos de Pensiones y Cesantias","2014-09-30",51130014.1666269
"Fondos de Prima Media","2014-09-30",3621438.33083397
"Instituciones Oficiales Especiales","2014-09-30",8546388.35134409
"Ministerio de Hacienda y CP","2014-09-30",2996420.8385264
"Otros Fondos","2014-09-30",33821.1018911
"Personas Juridicas","2014-09-30",560273.5645636
"Personas Naturales","2014-09-30",127272.0736422
"Proveedores de Infraestructura","2014-09-30",385387.3321185
"Administradoras de Carteras Colectivas y de Fdos Pensiones y Cesantias","2014-10-31",371543.6407416
"Banco de la Republica","2014-10-31",2531.47195191
"Bancos Comerciales","2014-10-31",30025560.9076707
"Carteras Colectivas y Fondos Administrados","2014-10-31",2071237.5896272
"Comisionistas de Bolsa","2014-10-31",333187.84161689
"Compañias de Financiamiento Comercial","2014-10-31",17676.628
"Compañias de Seguros y Capitalizacion","2014-10-31",9685137.76502132
"Cooperativas Grado Super. Caracter Finan","2014-10-31",38572.004
"Corporaciones Financieras","2014-10-31",1321868.46975592
"Entidades Publicas","2014-10-31",11864404.1248454
"Entidades sin Animo de Lucro","2014-10-31",98160.7110176
"Fiducia Publica","2014-10-31",28556695.2520951
"Fondos de Capital Extranjero","2014-10-31",27235855.7438512
"Fondos de Pensiones y Cesantias","2014-10-31",51481944.3398466
"Fondos de Prima Media","2014-10-31",3619544.38193057
"Instituciones Oficiales Especiales","2014-10-31",8749905.07330965
"Ministerio de Hacienda y CP","2014-10-31",2209253.7643072
"Otros Fondos","2014-10-31",35170.4995264
"Personas Juridicas","2014-10-31",519441.9826736
"Personas Naturales","2014-10-31",131717.0152712
"Proveedores de Infraestructura","2014-10-31",395893.888788
"Administradoras de Carteras Colectivas y de Fdos Pensiones y Cesantias","2014-11-30",367193.2131225
"Banco de la Republica","2014-11-30",2532.62569001
"Bancos Comerciales","2014-11-30",31150439.6125651
"Carteras Colectivas y Fondos Administrados","2014-11-30",1878092.314085
"Comisionistas de Bolsa","2014-11-30",347237.96949499
"Compañias de Financiamiento Comercial","2014-11-30",19328.9875
"Compañias de Seguros y Capitalizacion","2014-11-30",9641096.86374694
"Cooperativas Grado Super. Caracter Finan","2014-11-30",39073.5875
"Corporaciones Financieras","2014-11-30",1762419.58145212
"Entidades Publicas","2014-11-30",12158242.8834454
"Entidades sin Animo de Lucro","2014-11-30",93589.689135
"Fiducia Publica","2014-11-30",28625567.5618328
"Fondos de Capital Extranjero","2014-11-30",28008155.365045
"Fondos de Pensiones y Cesantias","2014-11-30",51393067.9999706
"Fondos de Prima Media","2014-11-30",3687617.17049117
"Instituciones Oficiales Especiales","2014-11-30",8610041.04487998
"Ministerio de Hacienda y CP","2014-11-30",537030.25402
"Otros Fondos","2014-11-30",31690.7139
"Personas Juridicas","2014-11-30",489813.33641
"Personas Naturales","2014-11-30",140298.741745
"Proveedores de Infraestructura","2014-11-30",412471.1342375
"Administradoras de Carteras Colectivas y de Fdos Pensiones y Cesantias","2014-12-31",305721.5600691
