"Entidad","Periodo","Valor"
"Entidades sin Animo de Lucro","2010-05-01",235001.6872375
"Fiducia Publica","2010-05-01",22088344.2609517
"Fondos de Capital Extranjero","2010-05-01",1155874.425738
"Fondos de Pensiones y Cesantias","2010-05-01",31814611.6001494
"Fondos de Prima Media","2010-05-01",3092383.00173407
"Instituciones Oficiales Especiales","2010-05-01",9000208.82674279
"Ministerio de Hacienda y CP","2010-05-01",1691946.3791105
"Otros Fondos","2010-05-01",60106.983397
"Personas Juridicas","2010-05-01",1591396.07007153
"Personas Naturales","2010-05-01",556305.39260165
"Proveedores de Infraestructura","2010-05-01",926210.3587995
"Administradoras de Carteras Colectivas y de Fdos Pensiones y Cesantias","2010-06-01",636669.43838935
"Banco de la Republica","2010-06-01",1382724.76983866
"Bancos Comerciales","2010-06-01",25464503.0843318
"Carteras Colectivas y Fondos Administrados","2010-06-01",2545762.12155796
"Comisionistas de Bolsa","2010-06-01",1060458.30704518
"Compañias de Financiamiento Comercial","2010-06-01",246719.305
"Compañias de Seguros y Capitalizacion","2010-06-01",8711972.17598566
"Cooperativas Grado Super. Caracter Finan","2010-06-01",58492.6525
"Corporaciones Financieras","2010-06-01",1611760.61896227
"Entidades Publicas","2010-06-01",11140136.2160924
"Entidades sin Animo de Lucro","2010-06-01",249095.5540285
"Fiducia Publica","2010-06-01",22248812.5737376
"Fondos de Capital Extranjero","2010-06-01",1460543.710806
"Fondos de Pensiones y Cesantias","2010-06-01",32405509.7237086
"Fondos de Prima Media","2010-06-01",3148503.90886207
"Instituciones Oficiales Especiales","2010-06-01",9195928.66590304
"Ministerio de Hacienda y CP","2010-06-01",1169153.6580885
"Otros Fondos","2010-06-01",62185.096741
"Personas Juridicas","2010-06-01",1737608.84044326
"Personas Naturales","2010-06-01",628561.40966955
"Proveedores de Infraestructura","2010-06-01",975054.6525565
"Administradoras de Carteras Colectivas y de Fdos Pensiones y Cesantias","2010-07-01",599100.74172935
"Banco de la Republica","2010-07-01",1382847.47516916
"Bancos Comerciales","2010-07-01",26472310.1372023
"Carteras Colectivas y Fondos Administrados","2010-07-01",2755212.07315059
"Comisionistas de Bolsa","2010-07-01",997554.812697794
"Compañias de Financiamiento Comercial","2010-07-01",262816.94
"Compañias de Seguros y Capitalizacion","2010-07-01",8819567.13307708
"Cooperativas Grado Super. Caracter Finan","2010-07-01",53454.235
"Corporaciones Financieras","2010-07-01",1541930.29096033
"Entidades Publicas","2010-07-01",11426974.1543284
"Entidades sin Animo de Lucro","2010-07-01",256480.06699
"Fiducia Publica","2010-07-01",22434829.1117604
"Fondos de Capital Extranjero","2010-07-01",1496847.9093352
"Fondos de Pensiones y Cesantias","2010-07-01",32807943.3988937
"Fondos de Prima Media","2010-07-01",3361863.82594807
"Instituciones Oficiales Especiales","2010-07-01",9167877.89655529
"Ministerio de Hacienda y CP","2010-07-01",1373096.228937
"Otros Fondos","2010-07-01",54675.255622
"Personas Juridicas","2010-07-01",1637046.7217924
"Personas Naturales","2010-07-01",689878.0576251
"Proveedores de Infraestructura","2010-07-01",1080998.943553
"Administradoras de Carteras Colectivas y de Fdos Pensiones y Cesantias","2010-08-01",755998.29823335
"Banco de la Republica","2010-08-01",1382885.10298746
"Bancos Comerciales","2010-08-01",26344169.3963459
"Carteras Colectivas y Fondos Administrados","2010-08-01",2997210.02467789
"Comisionistas de Bolsa","2010-08-01",1270477.74973154
"Compañias de Financiamiento Comercial","2010-08-01",275727.273
"Compañias de Seguros y Capitalizacion","2010-08-01",8882945.22065473
"Cooperativas Grado Super. Caracter Finan","2010-08-01",49544.5455
"Corporaciones Financieras","2010-08-01",1838112.14827078
"Entidades Publicas","2010-08-01",11939396.4405921
"Entidades sin Animo de Lucro","2010-08-01",264574.2644961
"Fiducia Publica","2010-08-01",22533230.6037192
"Fondos de Capital Extranjero","2010-08-01",1598155.6294316
"Fondos de Pensiones y Cesantias","2010-08-01",33695720.7350713
"Fondos de Prima Media","2010-08-01",3412807.09243967
"Instituciones Oficiales Especiales","2010-08-01",9285450.54897244
"Ministerio de Hacienda y CP","2010-08-01",1599949.2831861
"Otros Fondos","2010-08-01",52293.3729566
"Personas Juridicas","2010-08-01",1643520.45642632
"Personas Naturales","2010-08-01",664627.13695223
"Proveedores de Infraestructura","2010-08-01",1020976.3533254
"Administradoras de Carteras Colectivas y de Fdos Pensiones y Cesantias","2010-09-01",643908.40964335
"Banco de la Republica","2010-09-01",1347872.45904646
"Bancos Comerciales","2010-09-01",24521679.624884
"Carteras Colectivas y Fondos Administrados","2010-09-01",2539824.1464503
"Comisionistas de Bolsa","2010-09-01",1348299.50248702
"Compañias de Financiamiento Comercial","2010-09-01",279000
"Compañias de Seguros y Capitalizacion","2010-09-01",8739327.4647247
"Cooperativas Grado Super. Caracter Finan","2010-09-01",50699.8855
"Corporaciones Financieras","2010-09-01",1368194.4611038
"Entidades Publicas","2010-09-01",11967389.2065649
"Entidades sin Animo de Lucro","2010-09-01",239351.5385192
"Fiducia Publica","2010-09-01",22823633.5161894
"Fondos de Capital Extranjero","2010-09-01",1840972.9806996
"Fondos de Pensiones y Cesantias","2010-09-01",34364677.2431966
"Fondos de Prima Media","2010-09-01",3454312.62046307
"Instituciones Oficiales Especiales","2010-09-01",9213610.7425425
"Ministerio de Hacienda y CP","2010-09-01",1725644.5698492
"Otros Fondos","2010-09-01",58260.3861617
"Personas Juridicas","2010-09-01",1595043.20632287
"Personas Naturales","2010-09-01",628317.4625547
"Proveedores de Infraestructura","2010-09-01",984724.4729539
"Administradoras de Carteras Colectivas y de Fdos Pensiones y Cesantias","2010-10-01",684201.40400935
"Banco de la Republica","2010-10-01",1347858.47850016
"Bancos Comerciales","2010-10-01",25957885.7897833
"Carteras Colectivas y Fondos Administrados","2010-10-01",2608518.694142
"Comisionistas de Bolsa","2010-10-01",1498989.9078951
"Compañias de Financiamiento Comercial","2010-10-01",290500
"Compañias de Seguros y Capitalizacion","2010-10-01",8909531.05905715
"Cooperativas Grado Super. Caracter Finan","2010-10-01",49373.72
"Corporaciones Financieras","2010-10-01",1378416.16461338
"Entidades Publicas","2010-10-01",12483266.1446344
"Entidades sin Animo de Lucro","2010-10-01",264814.647936
"Fiducia Publica","2010-10-01",22640469.883522
"Fondos de Capital Extranjero","2010-10-01",1956816.833344
"Fondos de Pensiones y Cesantias","2010-10-01",34195303.4915027
"Fondos de Prima Media","2010-10-01",3491789.86281607
"Instituciones Oficiales Especiales","2010-10-01",9208922.90239008
"Ministerio de Hacienda y CP","2010-10-01",1596336.444688
"Otros Fondos","2010-10-01",54936.82256
"Personas Juridicas","2010-10-01",1765625.74151539
"Personas Naturales","2010-10-01",692134.92408
"Proveedores de Infraestructura","2010-10-01",941741.849856
"Administradoras de Carteras Colectivas y de Fdos Pensiones y Cesantias","2010-11-01",584284.37246735
"Banco de la Republica","2010-11-01",1068267.54159326
"Bancos Comerciales","2010-11-01",24742590.8482799
"Carteras Colectivas y Fondos Administrados","2010-11-01",2695977.0246236
"Comisionistas de Bolsa","2010-11-01",1443008.10424903
"Compañias de Financiamiento Comercial","2010-11-01",302035.9
"Compañias de Seguros y Capitalizacion","2010-11-01",8940039.53968334
"Cooperativas Grado Super. Caracter Finan","2010-11-01",46124.1435
"Corporaciones Financieras","2010-11-01",1385567.70863985
"Entidades Publicas","2010-11-01",12439713.7311026
"Entidades sin Animo de Lucro","2010-11-01",255356.8279114
"Fiducia Publica","2010-11-01",22548172.7970358
"Fondos de Capital Extranjero","2010-11-01",1848452.6255612
"Fondos de Pensiones y Cesantias","2010-11-01",33878832.892376
"Fondos de Prima Media","2010-11-01",3673856.50295507
"Instituciones Oficiales Especiales","2010-11-01",9293639.72468871
"Ministerio de Hacienda y CP","2010-11-01",1669056.7827724
"Otros Fondos","2010-11-01",44791.2644155
"Personas Juridicas","2010-11-01",1669486.64465136
"Personas Naturales","2010-11-01",630528.7830875
"Proveedores de Infraestructura","2010-11-01",1052260.4065546
"Administradoras de Carteras Colectivas y de Fdos Pensiones y Cesantias","2010-12-01",600359.42039995
"Banco de la Republica","2010-12-01",1161989.28650356
"Bancos Comerciales","2010-12-01",25063418.8196697
"Carteras Colectivas y Fondos Administrados","2010-12-01",2477803.1671404
"Comisionistas de Bolsa","2010-12-01",1250025.69019472
"Compañias de Financiamiento Comercial","2010-12-01",249135
"Compañias de Seguros y Capitalizacion","2010-12-01",8908704.68660295
"Cooperativas Grado Super. Caracter Finan","2010-12-01",58269.741
"Corporaciones Financieras","2010-12-01",956753.380680739
"Entidades Publicas","2010-12-01",12177351.5892046
"Entidades sin Animo de Lucro","2010-12-01",253564.3796638
"Fiducia Publica","2010-12-01",22023871.9256459
"Fondos de Capital Extranjero","2010-12-01",2927077.0470156
"Fondos de Pensiones y Cesantias","2010-12-01",33761671.4002636
"Fondos de Prima Media","2010-12-01",3372084.19776207
"Instituciones Oficiales Especiales","2010-12-01",9267997.12767389
"Ministerio de Hacienda y CP","2010-12-01",3189182.8727254
"Otros Fondos","2010-12-01",57011.1526068
"Personas Juridicas","2010-12-01",2083436.12420577
"Personas Naturales","2010-12-01",599619.6661858
"Proveedores de Infraestructura","2010-12-01",913678.9114746
"Administradoras de Carteras Colectivas y de Fdos Pensiones y Cesantias","2011-01-01",562302.25894935
"Banco de la Republica","2011-01-01",1162362.09123586
"Bancos Comerciales","2011-01-01",25145014.9644645
"Carteras Colectivas y Fondos Administrados","2011-01-01",2869510.0201559
"Comisionistas de Bolsa","2011-01-01",1069057.11917567
"Compañias de Financiamiento Comercial","2011-01-01",285990.1025
"Compañias de Seguros y Capitalizacion","2011-01-01",8999031.46441923
"Cooperativas Grado Super. Caracter Finan","2011-01-01",39220.043
"Corporaciones Financieras","2011-01-01",617720.54560589
"Entidades Publicas","2011-01-01",12329552.3195857
"Entidades sin Animo de Lucro","2011-01-01",260562.1113285
"Fiducia Publica","2011-01-01",22512180.7889362
"Fondos de Capital Extranjero","2011-01-01",3681580.5633724
"Fondos de Pensiones y Cesantias","2011-01-01",34424338.1979228
"Fondos de Prima Media","2011-01-01",3369443.23274907
"Instituciones Oficiales Especiales","2011-01-01",9212390.64290304
"Ministerio de Hacienda y CP","2011-01-01",3191206.5836527
"Otros Fondos","2011-01-01",55479.8537054
"Personas Juridicas","2011-01-01",1745612.55660852
"Personas Naturales","2011-01-01",636357.5802689
"Proveedores de Infraestructura","2011-01-01",1034410.6009473
"Administradoras de Carteras Colectivas y de Fdos Pensiones y Cesantias","2011-02-01",591808.72850135
"Banco de la Republica","2011-02-01",1163007.90191186
"Bancos Comerciales","2011-02-01",26715738.2272721
"Carteras Colectivas y Fondos Administrados","2011-02-01",3045450.079159
"Comisionistas de Bolsa","2011-02-01",985024.431845451
"Compañias de Financiamiento Comercial","2011-02-01",267801.6645
"Compañias de Seguros y Capitalizacion","2011-02-01",9130630.22226751
"Cooperativas Grado Super. Caracter Finan","2011-02-01",22364.638
"Corporaciones Financieras","2011-02-01",629518.041448737
"Entidades Publicas","2011-02-01",12216319.6314881
"Entidades sin Animo de Lucro","2011-02-01",180897.6446602
"Fiducia Publica","2011-02-01",22569658.6378949
"Fondos de Capital Extranjero","2011-02-01",3886322.1089844
"Fondos de Pensiones y Cesantias","2011-02-01",34435144.7792143
"Fondos de Prima Media","2011-02-01",3328465.16318907
"Instituciones Oficiales Especiales","2011-02-01",9342434.86460729
"Ministerio de Hacienda y CP","2011-02-01",3446157.6577287
"Otros Fondos","2011-02-01",54447.9589141
"Personas Juridicas","2011-02-01",1971552.53287454
"Personas Naturales","2011-02-01",628152.3735594
"Proveedores de Infraestructura","2011-02-01",844191.9340503
"Administradoras de Carteras Colectivas y de Fdos Pensiones y Cesantias","2011-03-01",723018.32744935
"Banco de la Republica","2011-03-01",1163711.79895886
"Bancos Comerciales","2011-03-01",28583736.0687004
"Carteras Colectivas y Fondos Administrados","2011-03-01",2722028.6983841
"Comisionistas de Bolsa","2011-03-01",970708.968953699
"Compañias de Financiamiento Comercial","2011-03-01",253691.7515
"Compañias de Seguros y Capitalizacion","2011-03-01",9588313.98385098
"Cooperativas Grado Super. Caracter Finan","2011-03-01",20628.159
"Corporaciones Financieras","2011-03-01",877002.743274694
"Entidades Publicas","2011-03-01",12027831.9885621
"Entidades sin Animo de Lucro","2011-03-01",183519.4242557
"Fiducia Publica","2011-03-01",23175674.1732296
"Fondos de Capital Extranjero","2011-03-01",3977317.4535484
"Fondos de Pensiones y Cesantias","2011-03-01",34480414.997733
"Fondos de Prima Media","2011-03-01",3333730.95861907
"Instituciones Oficiales Especiales","2011-03-01",8955935.07033351
"Ministerio de Hacienda y CP","2011-03-01",3100336.5133257
"Otros Fondos","2011-03-01",50261.312473
